From	Entry	Reviewed	Entry Name	Protein names	Gene Names	Organism	Length	Gene Ontology (GO)	Gene Ontology (biological process)	Gene Ontology IDs	Gene Ontology (molecular function)	Gene Ontology (cellular component)	Pathway	Intramembrane	Subcellular location [CC]	Transmembrane	Topological domain
WP_000369785.1	A0A0B7GI54	unreviewed	A0A0B7GI54_STRSA	DUF3173 domain-containing protein (Domain of uncharacterized function (DUF3173))	D8870_08115 D8875_11430 D8879_09215 D8882_08660 D8886_00045 EII39_10215 FKX92_07360 FOC72_08940 NCTC11085_02151 SSV_0151	Streptococcus sanguinis	62										
WP_000369785.1	A0A9D8PSL3	unreviewed	A0A9D8PSL3_STRSP	DUF3173 domain-containing protein	JTJ15_06105	Streptococcus sp	62										
WP_000369785.1	A0A0P6UI16	unreviewed	A0A0P6UI16_STRTR	Domain of uncharacterized function (DUF3173)	MNA02_1930 NCTC12958_02291 STHERMO_2065	Streptococcus thermophilus	62										
WP_000369785.1	A0A414CH30	unreviewed	A0A414CH30_STRPA	DUF3173 domain-containing protein	DW820_08275 GMC75_08765	Streptococcus parasanguinis	62										
WP_000369785.1	A0A2I1UT70	unreviewed	A0A2I1UT70_STRAP	DUF3173 domain-containing protein (Domain of uncharacterized function (DUF3173))	DWX18_10120 NCTC10707_01600	Streptococcus anginosus	62										
WP_000369785.1	A0A448ADP7	unreviewed	A0A448ADP7_STRVE	DUF3173 domain-containing protein	KH901_03025	Streptococcus vestibularis	62										
WP_000369785.1	A0A0E2RBX1	unreviewed	A0A0E2RBX1_STRTR	DUF3173 domain-containing protein	Y022_09880	Streptococcus thermophilus TH1477	62										
WP_000369785.1	A0A1F2HHF2	unreviewed	A0A1F2HHF2_9STRE	DUF3173 domain-containing protein	HMPREF3112_06405	Streptococcus sp. HMSC10E12	62										
WP_000369785.1	A0A1F1CJU8	unreviewed	A0A1F1CJU8_9STRE	DUF3173 domain-containing protein	HMPREF2904_06215	Streptococcus sp. HMSC072G04	62										
WP_000369785.1	A0A1F0RIV0	unreviewed	A0A1F0RIV0_9STRE	DUF3173 domain-containing protein	HMPREF2970_09215	Streptococcus sp. HMSC056D07	62										
WP_000369785.1	A0A7H9FGY9	unreviewed	A0A7H9FGY9_STROR	DUF3173 domain-containing protein	HRJ33_07760	Streptococcus oralis subsp. oralis	62										
WP_000369785.1	A0A501P7T6	unreviewed	A0A501P7T6_9STRE	DUF3173 domain-containing protein	FJN11_10425	Streptococcus symci	62										
WP_000369785.1	A0A501VLC2	unreviewed	A0A501VLC2_9STRE	DUF3173 domain-containing protein	FJR71_08005	Streptococcus xiaochunlingii	62										
WP_000369785.1	Q5M297	unreviewed	Q5M297_STRT2	DUF3173 domain-containing protein	stu1954	Streptococcus thermophilus (strain ATCC BAA-250 / LMG 18311)	62										
WP_000369785.1	A0A0F2E6T6	unreviewed	A0A0F2E6T6_9STRE	DUF3173 domain-containing protein	TZ94_00252	Streptococcus infantis	62										
WP_000369785.1	A0A447Z2J8	unreviewed	A0A447Z2J8_9STRE	Domain of uncharacterized function (DUF3173)	NCTC3166_00300	Streptococcus viridans	62										
WP_000369785.1	E8K876	unreviewed	E8K876_STRPA	DUF3173 domain-containing protein	HMPREF8577_1761	Streptococcus parasanguinis ATCC 903	62										
WP_000369785.1	F2CAR1	unreviewed	F2CAR1_STRSA	DUF3173 domain-containing protein	HMPREF9386_2267	Streptococcus sanguinis SK330	62										
WP_000369785.1	F2CFG2	unreviewed	F2CFG2_STRSA	DUF3173 domain-containing protein	HMPREF9391_1763	Streptococcus sanguinis SK408	62										
WP_000369785.1	F3SKA9	unreviewed	F3SKA9_STRSA	DUF3173 domain-containing protein	HMPREF9397_1581	Streptococcus sanguinis SK1087	62										
WP_000369785.1	E8JWR7	unreviewed	E8JWR7_STRCR	DUF3173 domain-containing protein	HMPREF9422_1647	Streptococcus cristatus ATCC 51100	62										
WP_000369785.1	E8K2P6	unreviewed	E8K2P6_9STRE	DUF3173 domain-containing protein	HMPREF9423_1759	Streptococcus infantis ATCC 700779	62										
WP_000369785.1	E3CMW8	unreviewed	E3CMW8_STRVE	DUF3173 domain-containing protein	HMPREF9192_1940	Streptococcus vestibularis F0396	62										
WP_000369785.1	E3CEY1	unreviewed	E3CEY1_STRPA	DUF3173 domain-containing protein	HMPREF9626_1741	Streptococcus parasanguinis F0405	62										
WP_000369785.1	K8MNM7	unreviewed	K8MNM7_9STRE	DUF3173 domain-containing protein	HMPREF9186_01462	Streptococcus sp. F0442	62										
WP_002901661.1	F0HYW3	unreviewed	F0HYW3_STRSA	Phage integrase family site-specific recombinase	int HMPREF9381_0103	Streptococcus sanguinis SK72	379	DNA binding [GO:0003677]; DNA integration [GO:0015074]; DNA recombination [GO:0006310]	DNA integration [GO:0015074]; DNA recombination [GO:0006310]	GO:0003677; GO:0006310; GO:0015074	DNA binding [GO:0003677]						
WP_002901648.1	A0A3R9J3Z1	unreviewed	A0A3R9J3Z1_STRSA	DUF1310 family protein	D8875_00910 D8882_08595	Streptococcus sanguinis	130										
WP_002901647.1	A0A427ZR77	unreviewed	A0A427ZR77_STRSA	DUF1310 family protein	D8875_00915 D8879_00040 D8882_08590	Streptococcus sanguinis	130	membrane [GO:0016020]		GO:0016020		membrane [GO:0016020]				TRANSMEM 7..27; /note="Helical"; /evidence="ECO:0000256|SAM:Phobius"	
WP_002901647.1	F0HYX4	unreviewed	F0HYX4_STRSA	DUF1310 family protein	HMPREF9381_0114	Streptococcus sanguinis SK72	130	membrane [GO:0016020]		GO:0016020		membrane [GO:0016020]				TRANSMEM 7..27; /note="Helical"; /evidence="ECO:0000256|SAM:Phobius"	
WP_002901645.1	A0A3R9HZR9	unreviewed	A0A3R9HZR9_STRSA	DUF2974 domain-containing protein	D8875_00920 D8879_00045	Streptococcus sanguinis	453										
WP_002901643.1	A0A3R9I0T9	unreviewed	A0A3R9I0T9_STRSA	Uncharacterized protein	D8875_00925 D8882_08580	Streptococcus sanguinis	134										
WP_002901643.1	F0HYX7	unreviewed	F0HYX7_STRSA	Uncharacterized protein	HMPREF9381_0117	Streptococcus sanguinis SK72	134										
WP_002901642.1	A0A3R9I5B9	unreviewed	A0A3R9I5B9_STRSA	Uncharacterized protein	D8875_00930 D8882_08575	Streptococcus sanguinis	94										
WP_002901642.1	F0FVF9	unreviewed	F0FVF9_STRSA	Uncharacterized protein	HMPREF9392_2168	Streptococcus sanguinis SK678	94										
WP_002900765.1	A0A2X3Y608	unreviewed	A0A2X3Y608_STRSA	Lipoprotein	NCTC11086_01632	Streptococcus sanguinis	204										
WP_002900765.1	F0I8P7	unreviewed	F0I8P7_STRSA	DUF6287 domain-containing protein	HMPREF9382_1036	Streptococcus sanguinis SK115	204										
WP_002900765.1	F0INK4	unreviewed	F0INK4_STRSA	DUF6287 domain-containing protein	HMPREF9383_1705	Streptococcus sanguinis SK150	204										
WP_002900765.1	F2C7G3	unreviewed	F2C7G3_STRSA	DUF6287 domain-containing protein	HMPREF9386_1048	Streptococcus sanguinis SK330	204										
WP_002900765.1	F0FSK7	unreviewed	F0FSK7_STRSA	DUF6287 domain-containing protein	HMPREF9392_0887	Streptococcus sanguinis SK678	204										
WP_002900763.1	A0A2X3UZ52	unreviewed	A0A2X3UZ52_STRSA	Uncharacterized protein	D8887_03545 NCTC11085_00759 NCTC11086_01631	Streptococcus sanguinis	101										
WP_002900763.1	F0I0D0	unreviewed	F0I0D0_STRSA	Uncharacterized protein	HMPREF9381_0620	Streptococcus sanguinis SK72	101										
WP_002900763.1	F0I8P6	unreviewed	F0I8P6_STRSA	Uncharacterized protein	HMPREF9382_1035	Streptococcus sanguinis SK115	101										
WP_002900763.1	F0INK3	unreviewed	F0INK3_STRSA	Uncharacterized protein	HMPREF9383_1704	Streptococcus sanguinis SK150	101										
WP_002900763.1	F2C7G2	unreviewed	F2C7G2_STRSA	Uncharacterized protein	HMPREF9386_1047	Streptococcus sanguinis SK330	101										
WP_002900763.1	F0FSK8	unreviewed	F0FSK8_STRSA	SseB protein N-terminal domain-containing protein	HMPREF9392_0888	Streptococcus sanguinis SK678	101										
WP_002900763.1	F3UBS5	unreviewed	F3UBS5_STRSA	Uncharacterized protein	HMPREF9393_1078	Streptococcus sanguinis SK1056	101										
WP_002900763.1	F2BTR6	unreviewed	F2BTR6_STRSA	Uncharacterized protein	HMPREF9394_1725	Streptococcus sanguinis SK1057	101										
WP_002900763.1	F3SIT1	unreviewed	F3SIT1_STRSA	Uncharacterized protein	HMPREF9397_1053	Streptococcus sanguinis SK1087	101										
WP_002900725.1	A0A3R9HA51	unreviewed	A0A3R9HA51_STRSA	Lipoprotein	D8870_00005 D8875_08520	Streptococcus sanguinis	238	membrane [GO:0016020]		GO:0016020		membrane [GO:0016020]				TRANSMEM 32..50; /note="Helical"; /evidence="ECO:0000256|SAM:Phobius"; TRANSMEM 56..77; /note="Helical"; /evidence="ECO:0000256|SAM:Phobius"; TRANSMEM 89..111; /note="Helical"; /evidence="ECO:0000256|SAM:Phobius"; TRANSMEM 131..152; /note="Helical"; /evidence="ECO:0000256|SAM:Phobius"; TRANSMEM 177..199; /note="Helical"; /evidence="ECO:0000256|SAM:Phobius"; TRANSMEM 205..229; /note="Helical"; /evidence="ECO:0000256|SAM:Phobius"	
WP_002900725.1	F2C7D0	unreviewed	F2C7D0_STRSA	Lipoprotein	HMPREF9386_1015	Streptococcus sanguinis SK330	238	membrane [GO:0016020]		GO:0016020		membrane [GO:0016020]				TRANSMEM 32..50; /note="Helical"; /evidence="ECO:0000256|SAM:Phobius"; TRANSMEM 56..77; /note="Helical"; /evidence="ECO:0000256|SAM:Phobius"; TRANSMEM 89..111; /note="Helical"; /evidence="ECO:0000256|SAM:Phobius"; TRANSMEM 131..152; /note="Helical"; /evidence="ECO:0000256|SAM:Phobius"; TRANSMEM 177..199; /note="Helical"; /evidence="ECO:0000256|SAM:Phobius"; TRANSMEM 205..229; /note="Helical"; /evidence="ECO:0000256|SAM:Phobius"	
WP_002900725.1	F2CES5	unreviewed	F2CES5_STRSA	Lipoprotein	HMPREF9391_1079	Streptococcus sanguinis SK408	238	membrane [GO:0016020]		GO:0016020		membrane [GO:0016020]				TRANSMEM 32..50; /note="Helical"; /evidence="ECO:0000256|SAM:Phobius"; TRANSMEM 56..77; /note="Helical"; /evidence="ECO:0000256|SAM:Phobius"; TRANSMEM 89..111; /note="Helical"; /evidence="ECO:0000256|SAM:Phobius"; TRANSMEM 131..152; /note="Helical"; /evidence="ECO:0000256|SAM:Phobius"; TRANSMEM 177..199; /note="Helical"; /evidence="ECO:0000256|SAM:Phobius"; TRANSMEM 205..229; /note="Helical"; /evidence="ECO:0000256|SAM:Phobius"	
WP_002900725.1	F0FRW8	unreviewed	F0FRW8_STRSA	Lipoprotein	HMPREF9392_0920	Streptococcus sanguinis SK678	238	membrane [GO:0016020]		GO:0016020		membrane [GO:0016020]				TRANSMEM 32..50; /note="Helical"; /evidence="ECO:0000256|SAM:Phobius"; TRANSMEM 56..77; /note="Helical"; /evidence="ECO:0000256|SAM:Phobius"; TRANSMEM 89..111; /note="Helical"; /evidence="ECO:0000256|SAM:Phobius"; TRANSMEM 131..152; /note="Helical"; /evidence="ECO:0000256|SAM:Phobius"; TRANSMEM 177..199; /note="Helical"; /evidence="ECO:0000256|SAM:Phobius"; TRANSMEM 205..229; /note="Helical"; /evidence="ECO:0000256|SAM:Phobius"	
WP_002900727.1	F2CES6	unreviewed	F2CES6_STRSA	Brp/Blh family beta-carotene 15,15'-monooxygenase	HMPREF9391_1080	Streptococcus sanguinis SK408	247	membrane [GO:0016020]		GO:0016020		membrane [GO:0016020]				TRANSMEM 43..63; /note="Helical"; /evidence="ECO:0000256|SAM:Phobius"; TRANSMEM 75..95; /note="Helical"; /evidence="ECO:0000256|SAM:Phobius"; TRANSMEM 137..160; /note="Helical"; /evidence="ECO:0000256|SAM:Phobius"; TRANSMEM 172..189; /note="Helical"; /evidence="ECO:0000256|SAM:Phobius"	
WP_002900727.1	F0FRW7	unreviewed	F0FRW7_STRSA	Uncharacterized protein	HMPREF9392_0919	Streptococcus sanguinis SK678	247	membrane [GO:0016020]		GO:0016020		membrane [GO:0016020]				TRANSMEM 43..63; /note="Helical"; /evidence="ECO:0000256|SAM:Phobius"; TRANSMEM 75..95; /note="Helical"; /evidence="ECO:0000256|SAM:Phobius"; TRANSMEM 137..160; /note="Helical"; /evidence="ECO:0000256|SAM:Phobius"; TRANSMEM 172..189; /note="Helical"; /evidence="ECO:0000256|SAM:Phobius"	
WP_002900729.1	F0FRW6	unreviewed	F0FRW6_STRSA	Uncharacterized protein	HMPREF9392_0918	Streptococcus sanguinis SK678	185	membrane [GO:0016020]		GO:0016020		membrane [GO:0016020]				TRANSMEM 6..27; /note="Helical"; /evidence="ECO:0000256|SAM:Phobius"	
WP_002900570.1	F0FQX4	unreviewed	F0FQX4_STRSA	Uncharacterized protein	HMPREF9392_1071	Streptococcus sanguinis SK678	177										
WP_002900569.1	F0FQX5	unreviewed	F0FQX5_STRSA	Uncharacterized protein	HMPREF9392_1072	Streptococcus sanguinis SK678	207	membrane [GO:0016020]		GO:0016020		membrane [GO:0016020]				TRANSMEM 15..33; /note="Helical"; /evidence="ECO:0000256|SAM:Phobius"	
WP_002900568.1	F0FQX6	unreviewed	F0FQX6_STRSA	DUF4230 domain-containing protein	HMPREF9392_1073	Streptococcus sanguinis SK678	209										
WP_002900565.1	A0A428AEM5	unreviewed	A0A428AEM5_STRSA	Uncharacterized protein	D8875_08370	Streptococcus sanguinis	98										
WP_002900565.1	F0FQX8	unreviewed	F0FQX8_STRSA	Uncharacterized protein	HMPREF9392_1075	Streptococcus sanguinis SK678	98										
WP_002900564.1	A0A428AEN1	unreviewed	A0A428AEN1_STRSA	Uncharacterized protein	D8875_08365	Streptococcus sanguinis	108										
WP_002900564.1	F2CDQ7	unreviewed	F2CDQ7_STRSA	Uncharacterized protein	HMPREF9391_0923	Streptococcus sanguinis SK408	108										
WP_002900564.1	F0FQX9	unreviewed	F0FQX9_STRSA	Uncharacterized protein	HMPREF9392_1076	Streptococcus sanguinis SK678	108										
WP_000985761.1	A0A5A7ZUS8	unreviewed	A0A5A7ZUS8_STRSA	SuB0782 undefined product 764400:764714 forward MW:11955	FKX92_03515	Streptococcus sanguinis	106										
WP_000985761.1	A0A371QG40	unreviewed	A0A371QG40_9STRE	SuB0782 undefined product 764400:764714 forward MW:11955	DXN33_02800	Streptococcus sp. NM	106										
WP_000985761.1	A0A1B1IG47	unreviewed	A0A1B1IG47_9STRE	SuB0782 undefined product 764400:764714 forward MW:11955	AXF18_07435	Streptococcus sp. oral taxon 064	106										
WP_000985761.1	E0PQX3	unreviewed	E0PQX3_STRMT	SuB0782 undefined product 764400:764714 forward MW:11955	HMPREF8571_0940	Streptococcus mitis ATCC 6249	106										
WP_002900371.1	A0A5A7ZUH5	unreviewed	A0A5A7ZUH5_STRSA	AAA family ATPase	FKX92_03520	Streptococcus sanguinis	361	ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; DNA binding [GO:0003677]		GO:0003677; GO:0005524; GO:0016887	ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; DNA binding [GO:0003677]						
WP_002900371.1	A0A371QG42	unreviewed	A0A371QG42_9STRE	DUF87 domain-containing protein	DXN33_02795	Streptococcus sp. NM	361	ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; DNA binding [GO:0003677]		GO:0003677; GO:0005524; GO:0016887	ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; DNA binding [GO:0003677]						
WP_002900373.1	A0A5A7ZUL5	unreviewed	A0A5A7ZUL5_STRSA	Replication protein RepB	FKX92_03530	Streptococcus sanguinis	198	extrachromosomal circular DNA [GO:0005727]; DNA binding [GO:0003677]; DNA topoisomerase activity [GO:0003916]; DNA replication [GO:0006260]	DNA replication [GO:0006260]	GO:0003677; GO:0003916; GO:0005727; GO:0006260	DNA binding [GO:0003677]; DNA topoisomerase activity [GO:0003916]	extrachromosomal circular DNA [GO:0005727]					
WP_002900374.1	A0A371QG71	unreviewed	A0A371QG71_9STRE	Site-specific integrase	DXN33_02775	Streptococcus sp. NM	411	DNA binding [GO:0003677]; DNA integration [GO:0015074]; DNA recombination [GO:0006310]	DNA integration [GO:0015074]; DNA recombination [GO:0006310]	GO:0003677; GO:0006310; GO:0015074	DNA binding [GO:0003677]						
WP_002900057.1	F0FUA9	unreviewed	F0FUA9_STRSA	ATPase AAA-type core domain-containing protein	HMPREF9392_1538	Streptococcus sanguinis SK678	622	ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]		GO:0005524; GO:0016887	ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]						
WP_002899769.1	F0FT88	unreviewed	F0FT88_STRSA	Integral membrane protein	HMPREF9392_1820	Streptococcus sanguinis SK678	124	membrane [GO:0016020]		GO:0016020		membrane [GO:0016020]				TRANSMEM 6..24; /note="Helical"; /evidence="ECO:0000256|SAM:Phobius"; TRANSMEM 44..69; /note="Helical"; /evidence="ECO:0000256|SAM:Phobius"; TRANSMEM 75..92; /note="Helical"; /evidence="ECO:0000256|SAM:Phobius"; TRANSMEM 104..122; /note="Helical"; /evidence="ECO:0000256|SAM:Phobius"	
WP_002899768.1	F0FT89	unreviewed	F0FT89_STRSA	Methyltransferase domain protein (EC 2.1.1.-)	HMPREF9392_1821	Streptococcus sanguinis SK678	254	S-adenosylmethionine-dependent methyltransferase activity [GO:0008757]; methylation [GO:0032259]	methylation [GO:0032259]	GO:0008757; GO:0032259	S-adenosylmethionine-dependent methyltransferase activity [GO:0008757]						
WP_002899767.1	F0FT90	unreviewed	F0FT90_STRSA	Bacitracin ABC transporter permease	HMPREF9392_1822	Streptococcus sanguinis SK678	258	membrane [GO:0016020]		GO:0016020		membrane [GO:0016020]				TRANSMEM 20..42; /note="Helical"; /evidence="ECO:0000256|SAM:Phobius"; TRANSMEM 69..94; /note="Helical"; /evidence="ECO:0000256|SAM:Phobius"; TRANSMEM 115..139; /note="Helical"; /evidence="ECO:0000256|SAM:Phobius"; TRANSMEM 159..182; /note="Helical"; /evidence="ECO:0000256|SAM:Phobius"; TRANSMEM 189..208; /note="Helical"; /evidence="ECO:0000256|SAM:Phobius"; TRANSMEM 228..252; /note="Helical"; /evidence="ECO:0000256|SAM:Phobius"	
WP_002899765.1	F0FT91	unreviewed	F0FT91_STRSA	ABC transporter, ATP-binding protein	bcrA HMPREF9392_1823	Streptococcus sanguinis SK678	317	ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]		GO:0005524; GO:0016887	ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]						
WP_002899698.1	F0FTE0	unreviewed	F0FTE0_STRSA	Uncharacterized protein	HMPREF9392_1872	Streptococcus sanguinis SK678	132	membrane [GO:0016020]		GO:0016020		membrane [GO:0016020]				TRANSMEM 24..41; /note="Helical"; /evidence="ECO:0000256|SAM:Phobius"; TRANSMEM 50..69; /note="Helical"; /evidence="ECO:0000256|SAM:Phobius"; TRANSMEM 108..129; /note="Helical"; /evidence="ECO:0000256|SAM:Phobius"	
WP_002899697.1	F0FTE1	unreviewed	F0FTE1_STRSA	ATPase/histidine kinase/DNA gyrase B/HSP90 domain protein	HMPREF9392_1873	Streptococcus sanguinis SK678	634										
WP_002899696.1	F0FTE2	unreviewed	F0FTE2_STRSA	Cytosine-specific methyltransferase (EC 2.1.1.37)	dcm HMPREF9392_1874	Streptococcus sanguinis SK678	352	DNA (cytosine-5-)-methyltransferase activity [GO:0003886]; DNA restriction-modification system [GO:0009307]	DNA restriction-modification system [GO:0009307]	GO:0003886; GO:0009307	DNA (cytosine-5-)-methyltransferase activity [GO:0003886]						
WP_037614148.1	A0A3P1S3I6	unreviewed	A0A3P1S3I6_STRSA	Uncharacterized protein	EII39_07490	Streptococcus sanguinis	96										
WP_002893760.1	A0A3R9N5N9	unreviewed	A0A3R9N5N9_9STRE	DUF1269 domain-containing protein	D8785_03540 DHT93_06150	Streptococcus australis	202										
WP_002893760.1	U5P514	unreviewed	U5P514_9STRE	DUF1269 domain-containing protein	DXB95_05205 N597_07670	Streptococcus ilei	202										
WP_002893760.1	A0A4Z1DWP2	unreviewed	A0A4Z1DWP2_9STRE	DUF1269 domain-containing protein	E5S68_06465	Streptococcus rubneri	202										
WP_002893760.1	A0A074IQN7	unreviewed	A0A074IQN7_STRSL	DUF1269 domain-containing protein	CKU37_04685 DL07_06655	Streptococcus salivarius	202										
WP_002893760.1	A0A3P1S3I4	unreviewed	A0A3P1S3I4_STRSA	DUF1269 domain-containing protein	D8870_08980 D8875_02940 D8879_06870 D8882_06930 D8883_05015 D8885_01575 D8886_09550 D8887_01505 D8889_07605 EII39_07495 FOC72_00605	Streptococcus sanguinis	202										
WP_002893760.1	A0A930S3Z8	unreviewed	A0A930S3Z8_STRSP	DUF1269 domain-containing protein	HXP01_09190	Streptococcus sp	202										
WP_002893760.1	A0A2I1TT61	unreviewed	A0A2I1TT61_STRPA	DUF1269 domain-containing protein	CYK20_05730 GMC73_06655 GMC92_10655 GMC94_05485 KHX87_06855	Streptococcus parasanguinis	202										
WP_002893760.1	A0A1F0ZRQ2	unreviewed	A0A1F0ZRQ2_9STRE	DUF1269 domain-containing protein	HMPREF2917_09640	Streptococcus sp. HMSC061E03	202										
WP_002893760.1	A0A3R9TJI4	unreviewed	A0A3R9TJI4_9STRE	DUF1269 domain-containing protein	D8783_01465	Streptococcus sp. A12	202										
WP_002893760.1	A0A3A5SJ90	unreviewed	A0A3A5SJ90_9STRE	DUF1269 domain-containing protein	DW738_06305	Streptococcus sp. AM28-20	202										
WP_002893760.1	A0A3A5Q314	unreviewed	A0A3A5Q314_9STRE	DUF1269 domain-containing protein	DW930_05880	Streptococcus sp. AM43-2AT	202										
WP_002893760.1	A3CQE9	unreviewed	A3CQE9_STRSV	Conserved domain uncharacterized protein	SSA_2031	Streptococcus sanguinis (strain SK36)	202										
WP_002893760.1	F0I3Z5	unreviewed	F0I3Z5_STRSA	DUF1269 domain-containing protein	HMPREF9381_1885	Streptococcus sanguinis SK72	202										
WP_002893760.1	F0ISN5	unreviewed	F0ISN5_STRSA	DUF1269 domain-containing protein	HMPREF9384_0847	Streptococcus sanguinis SK160	202										
WP_002893760.1	F2C8V4	unreviewed	F2C8V4_STRSA	DUF1269 domain-containing protein	HMPREF9386_1666	Streptococcus sanguinis SK330	202										
WP_002893760.1	F0FGR4	unreviewed	F0FGR4_STRSA	DUF1269 domain-containing protein	HMPREF9388_1897	Streptococcus sanguinis SK353	202										
WP_002893760.1	F2CGE4	unreviewed	F2CGE4_STRSA	DUF1269 domain-containing protein	HMPREF9391_1939	Streptococcus sanguinis SK408	202										
WP_002893760.1	F3UD91	unreviewed	F3UD91_STRSA	DUF1269 domain-containing protein	HMPREF9393_1498	Streptococcus sanguinis SK1056	202										
WP_002893760.1	F3SLJ6	unreviewed	F3SLJ6_STRSA	DUF1269 domain-containing protein	HMPREF9397_2019	Streptococcus sanguinis SK1087	202										
WP_002893760.1	K8MHM1	unreviewed	K8MHM1_9STRE	DUF1269 domain-containing protein	HMPREF9186_01565	Streptococcus sp. F0442	202										
WP_002893762.1	A0A3R9LV18	unreviewed	A0A3R9LV18_9STRE	Integrase (Site-specific tyrosine recombinase XerS)	D8785_03545 DHT93_06145	Streptococcus australis	73	DNA binding [GO:0003677]; DNA integration [GO:0015074]; DNA recombination [GO:0006310]	DNA integration [GO:0015074]; DNA recombination [GO:0006310]	GO:0003677; GO:0006310; GO:0015074	DNA binding [GO:0003677]						
WP_002893762.1	U5P5S5	unreviewed	U5P5S5_9STRE	Integrase	DXB95_05210 N596_05845 N597_07675	Streptococcus ilei	73	DNA binding [GO:0003677]; DNA integration [GO:0015074]; DNA recombination [GO:0006310]	DNA integration [GO:0015074]; DNA recombination [GO:0006310]	GO:0003677; GO:0006310; GO:0015074	DNA binding [GO:0003677]						
