From	Entry	Reviewed	Entry Name	Protein names	Gene Names	Organism	Length	Gene Ontology (GO)	Gene Ontology (biological process)	Gene Ontology IDs	Gene Ontology (molecular function)	Gene Ontology (cellular component)	Pathway	Intramembrane	Subcellular location [CC]	Topological domain	Transmembrane
WP_062201424.1	A0A139MIK0	unreviewed	A0A139MIK0_9STRE	dTDP-glucose 4,6-dehydratase (EC 4.2.1.46)	STRDD04_01644	Streptococcus sp. DD04	363	dTDP-glucose 4,6-dehydratase activity [GO:0008460]		GO:0008460	dTDP-glucose 4,6-dehydratase activity [GO:0008460]						
WP_062201412.1	A0A139MIU9	unreviewed	A0A139MIU9_9STRE	DNA-directed RNA polymerase subunit beta (RNAP subunit beta) (EC 2.7.7.6) (RNA polymerase subunit beta) (Transcriptase subunit beta)	rpoB STRDD04_01637	Streptococcus sp. DD04	1188	DNA-directed RNA polymerase complex [GO:0000428]; DNA binding [GO:0003677]; DNA-directed 5'-3' RNA polymerase activity [GO:0003899]; ribonucleoside binding [GO:0032549]; DNA-templated transcription [GO:0006351]	DNA-templated transcription [GO:0006351]	GO:0000428; GO:0003677; GO:0003899; GO:0006351; GO:0032549	DNA binding [GO:0003677]; DNA-directed 5'-3' RNA polymerase activity [GO:0003899]; ribonucleoside binding [GO:0032549]	DNA-directed RNA polymerase complex [GO:0000428]					
WP_062201389.1	A0A139MIP5	unreviewed	A0A139MIP5_9STRE	Competence positive regulator ComW	STRDD04_01635	Streptococcus sp. DD04	73										
WP_062201382.1	A0A139MJ35	unreviewed	A0A139MJ35_9STRE	Uncharacterized protein	STRDD04_01631	Streptococcus sp. DD04	259										
WP_062201380.1	A0A139MJD8	unreviewed	A0A139MJD8_9STRE	Hemagglutinin protein	STRDD04_01629	Streptococcus sp. DD04	274	membrane [GO:0016020]		GO:0016020		membrane [GO:0016020]					TRANSMEM 193..217; /note="Helical"; /evidence="ECO:0000256|SAM:Phobius"
WP_062201378.1	A0A139MIQ7	unreviewed	A0A139MIQ7_9STRE	Pheromone response surface protein PrgC(Plasmid pTEF2)	STRDD04_01628	Streptococcus sp. DD04	329	membrane [GO:0016020]		GO:0016020		membrane [GO:0016020]					TRANSMEM 298..315; /note="Helical"; /evidence="ECO:0000256|SAM:Phobius"
WP_062201375.1	A0A139MIX7	unreviewed	A0A139MIX7_9STRE	Gram-positive cocci surface proteins LPxTG domain-containing protein	STRDD04_01627	Streptococcus sp. DD04	2081	extracellular region [GO:0005576]		GO:0005576		extracellular region [GO:0005576]					
WP_062201372.1	A0A139MIR2	unreviewed	A0A139MIR2_9STRE	Small ribosomal subunit protein uS2	rpsB STRDD04_01626	Streptococcus sp. DD04	260	small ribosomal subunit [GO:0015935]; structural constituent of ribosome [GO:0003735]; translation [GO:0006412]	translation [GO:0006412]	GO:0003735; GO:0006412; GO:0015935	structural constituent of ribosome [GO:0003735]	small ribosomal subunit [GO:0015935]					
WP_062201369.1	A0A139MJB1	unreviewed	A0A139MJB1_9STRE	Elongation factor Ts (EF-Ts)	tsf STRDD04_01625	Streptococcus sp. DD04	347	cytoplasm [GO:0005737]; translation elongation factor activity [GO:0003746]		GO:0003746; GO:0005737	translation elongation factor activity [GO:0003746]	cytoplasm [GO:0005737]			SUBCELLULAR LOCATION: Cytoplasm {ECO:0000256|HAMAP-Rule:MF_00050, ECO:0000256|RuleBase:RU000643}.		
WP_062201366.1	A0A139MIR0	unreviewed	A0A139MIR0_9STRE	Uncharacterized protein	STRDD04_01624	Streptococcus sp. DD04	215	membrane [GO:0016020]		GO:0016020		membrane [GO:0016020]					TRANSMEM 12..35; /note="Helical"; /evidence="ECO:0000256|SAM:Phobius"; TRANSMEM 41..60; /note="Helical"; /evidence="ECO:0000256|SAM:Phobius"; TRANSMEM 72..89; /note="Helical"; /evidence="ECO:0000256|SAM:Phobius"; TRANSMEM 101..120; /note="Helical"; /evidence="ECO:0000256|SAM:Phobius"
WP_062201363.1	A0A139MIQ5	unreviewed	A0A139MIQ5_9STRE	Phage protein	STRDD04_01623	Streptococcus sp. DD04	276										
WP_062201357.1	A0A139MJ23	unreviewed	A0A139MJ23_9STRE	Sortase A, LPXTG specific	STRDD04_01619	Streptococcus sp. DD04	304	membrane [GO:0016020]; hydrolase activity [GO:0016787]		GO:0016020; GO:0016787	hydrolase activity [GO:0016787]	membrane [GO:0016020]					TRANSMEM 243..267; /note="Helical"; /evidence="ECO:0000256|SAM:Phobius"
WP_062201354.1	A0A139MIX3	unreviewed	A0A139MIX3_9STRE	Lactose phosphotransferase system repressor	STRDD04_01616	Streptococcus sp. DD04	248	DNA binding [GO:0003677]; DNA-binding transcription factor activity [GO:0003700]; transferase activity [GO:0016740]		GO:0003677; GO:0003700; GO:0016740	DNA binding [GO:0003677]; DNA-binding transcription factor activity [GO:0003700]; transferase activity [GO:0016740]						
WP_062201360.1	A0A139MJA8	unreviewed	A0A139MJA8_9STRE	Cell wall surface anchor family protein	STRDD04_01620	Streptococcus sp. DD04	485	membrane [GO:0016020]		GO:0016020		membrane [GO:0016020]					TRANSMEM 459..478; /note="Helical"; /evidence="ECO:0000256|SAM:Phobius"
WP_062201041.1	A0A1F0NNE7	unreviewed	A0A1F0NNE7_9STRE	Integrase	HMPREF2984_06635	Streptococcus sp. HMSC066E07	407	DNA binding [GO:0003677]; DNA integration [GO:0015074]; DNA recombination [GO:0006310]	DNA integration [GO:0015074]; DNA recombination [GO:0006310]	GO:0003677; GO:0006310; GO:0015074	DNA binding [GO:0003677]						
WP_062201041.1	A0A139MJR0	unreviewed	A0A139MJR0_9STRE	Putative integrase/recombinase	STRDD04_01469	Streptococcus sp. DD04	407	DNA binding [GO:0003677]; DNA integration [GO:0015074]; DNA recombination [GO:0006310]	DNA integration [GO:0015074]; DNA recombination [GO:0006310]	GO:0003677; GO:0006310; GO:0015074	DNA binding [GO:0003677]						
WP_002299685.1	A0A5N1G8V7	unreviewed	A0A5N1G8V7_STRAP	Type II toxin-antitoxin system PemK/MazF family toxin	F6I09_03890	Streptococcus anginosus	110	DNA binding [GO:0003677]		GO:0003677	DNA binding [GO:0003677]						
WP_002299685.1	A0A1E9H7V2	unreviewed	A0A1E9H7V2_9STRE	Addiction module toxin	HMPREF2759_06080	Streptococcus sp. HMSC061D01	110	DNA binding [GO:0003677]		GO:0003677	DNA binding [GO:0003677]						
WP_002299685.1	A0A1F0NNF5	unreviewed	A0A1F0NNF5_9STRE	Addiction module toxin RelE	HMPREF2984_06645	Streptococcus sp. HMSC066E07	110	DNA binding [GO:0003677]		GO:0003677	DNA binding [GO:0003677]						
WP_002299685.1	A0A139MJC0	unreviewed	A0A139MJC0_9STRE	Uncharacterized protein	STRDD04_01468	Streptococcus sp. DD04	110	DNA binding [GO:0003677]		GO:0003677	DNA binding [GO:0003677]						
WP_002299685.1	A0A3S4R986	unreviewed	A0A3S4R986_9STRE	Addiction module toxin	NCTC11169_01567	Streptococcus milleri	110	DNA binding [GO:0003677]		GO:0003677	DNA binding [GO:0003677]						
WP_002299685.1	E6IYL6	unreviewed	E6IYL6_STRAP	Toxin-antitoxin system, toxin component, MazF family	HMPREF0813_00078	Streptococcus anginosus F0211	110	DNA binding [GO:0003677]		GO:0003677	DNA binding [GO:0003677]						
WP_002299685.1	A0A380M7Q3	unreviewed	A0A380M7Q3_9STRE	Addiction module toxin	NCTC1080_01624	Streptococcus viridans	110	DNA binding [GO:0003677]		GO:0003677	DNA binding [GO:0003677]						
WP_000162871.1	A0A1S5W9L5	unreviewed	A0A1S5W9L5_STRGY	Putative addiction module antitoxin, RelB/DinJfamily	BTR42_01265	Streptococcus gallolyticus subsp. gallolyticus DSM 16831	101	regulation of DNA-templated transcription [GO:0006355]	regulation of DNA-templated transcription [GO:0006355]	GO:0006355							
WP_000162871.1	A0A7Z6WI14	unreviewed	A0A7Z6WI14_STRAG	Toxin-antitoxin system protein	C4618_02265	Streptococcus agalactiae	101	regulation of DNA-templated transcription [GO:0006355]	regulation of DNA-templated transcription [GO:0006355]	GO:0006355							
WP_000162871.1	A0A5N1G844	unreviewed	A0A5N1G844_STRAP	Toxin-antitoxin system protein	F6I09_03895	Streptococcus anginosus	101	regulation of DNA-templated transcription [GO:0006355]	regulation of DNA-templated transcription [GO:0006355]	GO:0006355							
WP_000162871.1	A0A1E9H735	unreviewed	A0A1E9H735_9STRE	Toxin-antitoxin system protein	HMPREF2759_06075	Streptococcus sp. HMSC061D01	101	regulation of DNA-templated transcription [GO:0006355]	regulation of DNA-templated transcription [GO:0006355]	GO:0006355							
WP_000162871.1	A0A1F0NNF8	unreviewed	A0A1F0NNF8_9STRE	Toxin-antitoxin system protein	HMPREF2984_06650	Streptococcus sp. HMSC066E07	101	regulation of DNA-templated transcription [GO:0006355]	regulation of DNA-templated transcription [GO:0006355]	GO:0006355							
WP_000162871.1	A0A448BEX0	unreviewed	A0A448BEX0_9STRE	Addiction module antitoxin	dinJ2 NCTC11169_01566	Streptococcus milleri	101	regulation of DNA-templated transcription [GO:0006355]	regulation of DNA-templated transcription [GO:0006355]	GO:0006355							
WP_000162871.1	E6IYL5	unreviewed	E6IYL5_STRAP	Addiction module antitoxin, RelB/DinJ family	HMPREF0813_00077	Streptococcus anginosus F0211	101	regulation of DNA-templated transcription [GO:0006355]	regulation of DNA-templated transcription [GO:0006355]	GO:0006355							
WP_000162871.1	A0A380M6E9	unreviewed	A0A380M6E9_9STRE	Addiction module antitoxin	dinJ2 NCTC1080_01623	Streptococcus viridans	101	regulation of DNA-templated transcription [GO:0006355]	regulation of DNA-templated transcription [GO:0006355]	GO:0006355							
WP_062201036.1	A0A139MJC1	unreviewed	A0A139MJC1_9STRE	Immunogenic secreted protein	STRDD04_01466	Streptococcus sp. DD04	351										
WP_062201033.1	A0A139MJW6	unreviewed	A0A139MJW6_9STRE	Uncharacterized protein	STRDD04_01465	Streptococcus sp. DD04	74										
WP_062201033.1	A0A448BEV9	unreviewed	A0A448BEV9_9STRE	ICESt1 ORFB	NCTC11169_01564	Streptococcus milleri	74										
WP_062201030.1	A0A139MJB7	unreviewed	A0A139MJB7_9STRE	Conjugal transfer protein	STRDD04_01464	Streptococcus sp. DD04	643	membrane [GO:0016020]		GO:0016020		membrane [GO:0016020]					TRANSMEM 38..61; /note="Helical"; /evidence="ECO:0000256|SAM:Phobius"; TRANSMEM 92..115; /note="Helical"; /evidence="ECO:0000256|SAM:Phobius"; TRANSMEM 127..151; /note="Helical"; /evidence="ECO:0000256|SAM:Phobius"; TRANSMEM 274..296; /note="Helical"; /evidence="ECO:0000256|SAM:Phobius"; TRANSMEM 303..321; /note="Helical"; /evidence="ECO:0000256|SAM:Phobius"; TRANSMEM 327..355; /note="Helical"; /evidence="ECO:0000256|SAM:Phobius"; TRANSMEM 376..400; /note="Helical"; /evidence="ECO:0000256|SAM:Phobius"; TRANSMEM 456..474; /note="Helical"; /evidence="ECO:0000256|SAM:Phobius"
WP_062201028.1	A0A139MJE5	unreviewed	A0A139MJE5_9STRE	Conjugal transfer protein	STRDD04_01461	Streptococcus sp. DD04	138	membrane [GO:0016020]		GO:0016020		membrane [GO:0016020]					TRANSMEM 39..61; /note="Helical"; /evidence="ECO:0000256|SAM:Phobius"
WP_017827907.1	A0A3R9KAN8	unreviewed	A0A3R9KAN8_STRIT	Transmembrane regions protein	D8829_09020	Streptococcus intermedius	75	membrane [GO:0016020]		GO:0016020		membrane [GO:0016020]					TRANSMEM 14..30; /note="Helical"; /evidence="ECO:0000256|SAM:Phobius"; TRANSMEM 42..66; /note="Helical"; /evidence="ECO:0000256|SAM:Phobius"
WP_017827907.1	A0A7L8W8Z4	unreviewed	A0A7L8W8Z4_9STRE	Conjugal transfer protein	FPL13_08065	Streptococcus sp. KS 6	75	membrane [GO:0016020]		GO:0016020		membrane [GO:0016020]					TRANSMEM 14..30; /note="Helical"; /evidence="ECO:0000256|SAM:Phobius"; TRANSMEM 42..66; /note="Helical"; /evidence="ECO:0000256|SAM:Phobius"
WP_017827907.1	T1ZFQ0	unreviewed	T1ZFQ0_STRIT	Transmembrane regions protein	SIR_1707	Streptococcus intermedius B196	75	membrane [GO:0016020]		GO:0016020		membrane [GO:0016020]					TRANSMEM 14..30; /note="Helical"; /evidence="ECO:0000256|SAM:Phobius"; TRANSMEM 42..66; /note="Helical"; /evidence="ECO:0000256|SAM:Phobius"
WP_062201025.1	A0A139MJX9	unreviewed	A0A139MJX9_9STRE	Transposon protein	STRDD04_01460	Streptococcus sp. DD04	330	membrane [GO:0016020]		GO:0016020		membrane [GO:0016020]					TRANSMEM 38..58; /note="Helical"; /evidence="ECO:0000256|SAM:Phobius"
WP_062201022.1	A0A139MJD5	unreviewed	A0A139MJD5_9STRE	Conjugal transfer protein	STRDD04_01459	Streptococcus sp. DD04	184										
WP_062201020.1	A0A139MJE0	unreviewed	A0A139MJE0_9STRE	Phage protein	STRDD04_01458	Streptococcus sp. DD04	78										
WP_062201017.1	A0A139MJU2	unreviewed	A0A139MJU2_9STRE	Uncharacterized protein	STRDD04_01457	Streptococcus sp. DD04	128										
WP_062201012.1	A0A139MJN0	unreviewed	A0A139MJN0_9STRE	Transcriptional regulator, Cro/CI family	STRDD04_01456	Streptococcus sp. DD04	410	DNA binding [GO:0003677]		GO:0003677	DNA binding [GO:0003677]						
WP_062201009.1	A0A139MJP4	unreviewed	A0A139MJP4_9STRE	FtsK domain-containing protein	STRDD04_01455	Streptococcus sp. DD04	543	membrane [GO:0016020]; ATP binding [GO:0005524]; DNA binding [GO:0003677]		GO:0003677; GO:0005524; GO:0016020	ATP binding [GO:0005524]; DNA binding [GO:0003677]	membrane [GO:0016020]					TRANSMEM 21..40; /note="Helical"; /evidence="ECO:0000256|SAM:Phobius"; TRANSMEM 52..75; /note="Helical"; /evidence="ECO:0000256|SAM:Phobius"; TRANSMEM 210..232; /note="Helical"; /evidence="ECO:0000256|SAM:Phobius"
WP_002922355.1	A0A139MJY2	unreviewed	A0A139MJY2_9STRE	DUF961 domain-containing protein	STRDD04_01454	Streptococcus sp. DD04	136										
WP_002922355.1	F3UDA6	unreviewed	F3UDA6_STRSA	DUF961 domain-containing protein	HMPREF9393_1513	Streptococcus sanguinis SK1056	136										
WP_062201006.1	A0A139MJD0	unreviewed	A0A139MJD0_9STRE	Single-stranded DNA-binding protein	STRDD04_01453	Streptococcus sp. DD04	104										
WP_062200998.1	A0A139MJD7	unreviewed	A0A139MJD7_9STRE	YafQ toxin protein	STRDD04_01451	Streptococcus sp. DD04	92										
WP_062200672.1	A0A139MJX4	unreviewed	A0A139MJX4_9STRE	DNA-damage-inducible protein J	STRDD04_01450	Streptococcus sp. DD04	90	cis-regulatory region sequence-specific DNA binding [GO:0000987]; toxic substance binding [GO:0015643]; regulation of DNA-templated transcription [GO:0006355]; single-species biofilm formation [GO:0044010]	regulation of DNA-templated transcription [GO:0006355]; single-species biofilm formation [GO:0044010]	GO:0000987; GO:0006355; GO:0015643; GO:0044010	cis-regulatory region sequence-specific DNA binding [GO:0000987]; toxic substance binding [GO:0015643]						
WP_000483806.1	A0A7Z6RDF7	unreviewed	A0A7Z6RDF7_STRAG	XRE family transcriptional regulator	C4618_02360	Streptococcus agalactiae	120	DNA binding [GO:0003677]		GO:0003677	DNA binding [GO:0003677]						
WP_000483806.1	A0A139MJD4	unreviewed	A0A139MJD4_9STRE	Transcriptional regulator	STRDD04_01448	Streptococcus sp. DD04	120	DNA binding [GO:0003677]		GO:0003677	DNA binding [GO:0003677]						
WP_070670859.1	A0A139MJT2	unreviewed	A0A139MJT2_9STRE	Putative transcriptional regulator	STRDD04_01447	Streptococcus sp. DD04	283										
WP_062200670.1	A0A139MJM6	unreviewed	A0A139MJM6_9STRE	KAP NTPase domain-containing protein	STRDD04_01446	Streptococcus sp. DD04	251	membrane [GO:0016020]		GO:0016020		membrane [GO:0016020]					TRANSMEM 88..111; /note="Helical"; /evidence="ECO:0000256|SAM:Phobius"; TRANSMEM 131..153; /note="Helical"; /evidence="ECO:0000256|SAM:Phobius"
WP_004804273.1	A0A2T0G1F7	unreviewed	A0A2T0G1F7_STRAP	Alpha/beta hydrolase	C6A27_06290	Streptococcus anginosus	255	hydrolase activity [GO:0016787]		GO:0016787	hydrolase activity [GO:0016787]						
WP_004804273.1	A0A139MJW1	unreviewed	A0A139MJW1_9STRE	Alpha/beta superfamily hydrolase	STRDD04_01444	Streptococcus sp. DD04	255	hydrolase activity [GO:0016787]		GO:0016787	hydrolase activity [GO:0016787]						
WP_004804273.1	A0A9X3H9R5	unreviewed	A0A9X3H9R5_9FIRM	Alpha/beta hydrolase	NND69_02935	Parvimonas micra	255	hydrolase activity [GO:0016787]		GO:0016787	hydrolase activity [GO:0016787]						
WP_004804273.1	G5GKK6	unreviewed	G5GKK6_9FIRM	AB hydrolase-1 domain-containing protein	HMPREF9333_02098	Johnsonella ignava ATCC 51276	255										
WP_004804273.1	M2PK62	unreviewed	M2PK62_9FIRM	AB hydrolase-1 domain-containing protein	HMPREF9943_01797	Eggerthia catenaformis OT 569 = DSM 20559	255										
WP_049517558.1	A0A139MK65	unreviewed	A0A139MK65_9STRE	Esterase	STRDD04_01443	Streptococcus sp. DD04	312	hydrolase activity [GO:0016787]		GO:0016787	hydrolase activity [GO:0016787]						
WP_062200666.1	A0A139MJK6	unreviewed	A0A139MJK6_9STRE	Palmitoyl-CoA hydrolase (EC 3.1.2.2)	STRDD04_01440	Streptococcus sp. DD04	311	myristoyl-CoA hydrolase activity [GO:0102991]; palmitoyl-CoA hydrolase activity [GO:0016290]		GO:0016290; GO:0102991	myristoyl-CoA hydrolase activity [GO:0102991]; palmitoyl-CoA hydrolase activity [GO:0016290]						
WP_062200665.1	A0A139MK46	unreviewed	A0A139MK46_9STRE	Uncharacterized protein	STRDD04_01439	Streptococcus sp. DD04	239										
WP_062200664.1	A0A139MJN6	unreviewed	A0A139MJN6_9STRE	Lipoprotein	STRDD04_01438	Streptococcus sp. DD04	117										
WP_062200663.1	A0A139MJZ4	unreviewed	A0A139MJZ4_9STRE	site-specific DNA-methyltransferase (adenine-specific) (EC 2.1.1.72)	STRDD04_01436	Streptococcus sp. DD04	814	DNA binding [GO:0003677]; N-methyltransferase activity [GO:0008170]; site-specific DNA-methyltransferase (adenine-specific) activity [GO:0009007]; DNA restriction-modification system [GO:0009307]	DNA restriction-modification system [GO:0009307]	GO:0003677; GO:0008170; GO:0009007; GO:0009307	DNA binding [GO:0003677]; N-methyltransferase activity [GO:0008170]; site-specific DNA-methyltransferase (adenine-specific) activity [GO:0009007]						
WP_062199934.1	A0A139MN89	unreviewed	A0A139MN89_9STRE	HigB toxin protein	STRDD04_01024	Streptococcus sp. DD04	107										
WP_062200573.1	A0A139MN24	unreviewed	A0A139MN24_9STRE	Transcriptional regulator, xre family	STRDD04_01025	Streptococcus sp. DD04	105	DNA binding [GO:0003677]		GO:0003677	DNA binding [GO:0003677]						
WP_062199936.1	A0A139MNE8	unreviewed	A0A139MNE8_9STRE	Putative DNA-damage-inducible protein J	STRDD04_01026	Streptococcus sp. DD04	113	regulation of DNA-templated transcription [GO:0006355]	regulation of DNA-templated transcription [GO:0006355]	GO:0006355							
WP_062199938.1	A0A139MMX2	unreviewed	A0A139MMX2_9STRE	Lipoprotein	STRDD04_01027	Streptococcus sp. DD04	125										
WP_062199940.1	A0A139MMY0	unreviewed	A0A139MMY0_9STRE	Putative transcriptional regulator	STRDD04_01028	Streptococcus sp. DD04	291										
WP_062199942.1	A0A139MNF7	unreviewed	A0A139MNF7_9STRE	Transcriptional regulator, XRE family	STRDD04_01029	Streptococcus sp. DD04	115	DNA binding [GO:0003677]		GO:0003677	DNA binding [GO:0003677]						
WP_062199948.1	A0A139MMY5	unreviewed	A0A139MMY5_9STRE	Putative transfer protein	STRDD04_01032	Streptococcus sp. DD04	98										
WP_062199950.1	A0A139MNL2	unreviewed	A0A139MNL2_9STRE	Putative transfer protein	STRDD04_01033	Streptococcus sp. DD04	157										
WP_062199952.1	A0A139MNA3	unreviewed	A0A139MNA3_9STRE	FtsK/SpoIIIE family protein	STRDD04_01034	Streptococcus sp. DD04	576	membrane [GO:0016020]; ATP binding [GO:0005524]; DNA binding [GO:0003677]		GO:0003677; GO:0005524; GO:0016020	ATP binding [GO:0005524]; DNA binding [GO:0003677]	membrane [GO:0016020]					TRANSMEM 20..44; /note="Helical"; /evidence="ECO:0000256|SAM:Phobius"; TRANSMEM 56..77; /note="Helical"; /evidence="ECO:0000256|SAM:Phobius"
WP_062199954.1	A0A139MN40	unreviewed	A0A139MN40_9STRE	Transcriptional regulator, Cro/CI family	STRDD04_01035	Streptococcus sp. DD04	424	DNA binding [GO:0003677]		GO:0003677	DNA binding [GO:0003677]						
WP_062199959.1	A0A139MNH6	unreviewed	A0A139MNH6_9STRE	Uncharacterized protein	STRDD04_01039	Streptococcus sp. DD04	122										
WP_062199965.1	A0A139MNA6	unreviewed	A0A139MNA6_9STRE	Uncharacterized protein	STRDD04_01043	Streptococcus sp. DD04	80										
WP_062199967.1	A0A139MMS9	unreviewed	A0A139MMS9_9STRE	Uncharacterized protein	STRDD04_01044	Streptococcus sp. DD04	159										
WP_062199969.1	A0A139MMY1	unreviewed	A0A139MMY1_9STRE	Transposon protein	STRDD04_01045	Streptococcus sp. DD04	311										
WP_062199972.1	A0A139MMS6	unreviewed	A0A139MMS6_9STRE	Uncharacterized protein	STRDD04_01046	Streptococcus sp. DD04	74	membrane [GO:0016020]		GO:0016020		membrane [GO:0016020]					TRANSMEM 6..24; /note="Helical"; /evidence="ECO:0000256|SAM:Phobius"; TRANSMEM 36..53; /note="Helical"; /evidence="ECO:0000256|SAM:Phobius"
WP_062199974.1	A0A139MNF0	unreviewed	A0A139MNF0_9STRE	TcpE family protein	STRDD04_01047	Streptococcus sp. DD04	131	membrane [GO:0016020]		GO:0016020		membrane [GO:0016020]					TRANSMEM 36..55; /note="Helical"; /evidence="ECO:0000256|SAM:Phobius"
