Accession	Begin	End	Chromosome	Name	Transcript name	Locus tag
S.sanguinisNZ_GL872310.1	118933	119946		hypothetical protein		HMPREF9390_RS10490
S.sanguinisNZ_GL872310.1	119949	120329		hypothetical protein		HMPREF9390_RS10485
S.sanguinisNZ_GL872310.1	120545	120757		hypothetical protein		HMPREF9390_RS10480
S.sanguinisNZ_GL872310.1	120936	121801		uncharacterized gene		HMPREF9390_RS10475
S.sanguinisNZ_GL872310.1	122023	122934		uncharacterized gene		HMPREF9390_RS10470
S.sanguinisNZ_GL872310.1	122955	123293		hypothetical protein		HMPREF9390_RS10465
S.sanguinisNZ_GL872310.1	123315	125507		hypothetical protein		HMPREF9390_RS10460
S.sanguinisNZ_GL872310.1	125504	126427		hypothetical protein		HMPREF9390_RS10455
S.sanguinisNZ_GL872310.1	126449	126805		hypothetical protein		HMPREF9390_RS10450
S.sanguinisNZ_GL872310.1	127172	127384		hypothetical protein		HMPREF9390_RS10440
S.sanguinisNZ_GL872310.1	127554	129308		aspartate--tRNA ligase		HMPREF9390_RS10435
S.sanguinisNZ_GL872310.1	129295	130230		YitT family protein		HMPREF9390_RS10430
S.sanguinisNZ_GL872310.1	130412	131689		MATE family efflux transporter		HMPREF9390_RS10425
S.sanguinisNZ_GL872310.1	131686	132300		HAD-IA family hydrolase		HMPREF9390_RS10420
S.sanguinisNZ_GL872310.1	132348	132824		YcxB family protein		HMPREF9390_RS10415
S.sanguinisNZ_GL872310.1	132936	135578		DNA polymerase I		HMPREF9390_RS10410
S.sanguinisNZ_GL872310.1	135852	136289		CoA-binding protein		HMPREF9390_RS10405
S.sanguinisNZ_GL872310.1	136291	136803		kinase		HMPREF9390_RS10400
S.sanguinisNZ_GL872310.1	136821	137696		DUF975 family protein		HMPREF9390_RS10395
S.sanguinisNZ_GL872310.1	137849	138991		tRNA guanosine(34) transglycosylase Tgt		HMPREF9390_RS10390
S.sanguinisNZ_GL872310.1	139017	139655		phosphoribulokinase		HMPREF9390_RS10385
S.sanguinisNZ_GL872310.1	140028	140336		30S ribosomal protein S10		HMPREF9390_RS10380
S.sanguinisNZ_GL872310.1	140421	141047		50S ribosomal protein L3		HMPREF9390_RS10375
S.sanguinisNZ_GL872310.1	141072	141695		50S ribosomal protein L4		HMPREF9390_RS10370
S.sanguinisNZ_GL872310.1	141695	141991		50S ribosomal protein L23		HMPREF9390_RS10365
S.sanguinisNZ_GL872310.1	142009	142842		50S ribosomal protein L2		HMPREF9390_RS10360
S.sanguinisNZ_GL872310.1	142928	143209		30S ribosomal protein S19		HMPREF9390_RS10355
S.sanguinisNZ_GL872310.1	143221	143565		50S ribosomal protein L22		HMPREF9390_RS10350
S.sanguinisNZ_GL872310.1	143578	144231		30S ribosomal protein S3		HMPREF9390_RS10345
S.sanguinisNZ_GL872310.1	144235	144648		50S ribosomal protein L16		HMPREF9390_RS10340
S.sanguinisNZ_GL872310.1	144658	144864		50S ribosomal protein L29		HMPREF9390_RS10335
S.sanguinisNZ_GL872310.1	144888	145148		30S ribosomal protein S17		HMPREF9390_RS10330
S.sanguinisNZ_GL872310.1	145174	145542		50S ribosomal protein L14		HMPREF9390_RS10325
S.sanguinisNZ_GL872310.1	145618	145923		50S ribosomal protein L24		HMPREF9390_RS10320
S.sanguinisNZ_GL872310.1	145947	146489		50S ribosomal protein L5		HMPREF9390_RS10315
S.sanguinisNZ_GL872310.1	146507	146692		type Z 30S ribosomal protein S14		HMPREF9390_RS10310
S.sanguinisNZ_GL872310.1	146873	147271		30S ribosomal protein S8		HMPREF9390_RS10305
S.sanguinisNZ_GL872310.1	147461	147997		50S ribosomal protein L6		HMPREF9390_RS10300
S.sanguinisNZ_GL872310.1	148083	148439		50S ribosomal protein L18		HMPREF9390_RS10295
S.sanguinisNZ_GL872310.1	148457	148951		30S ribosomal protein S5		HMPREF9390_RS10290
S.sanguinisNZ_GL872310.1	148965	149147		50S ribosomal protein L30		HMPREF9390_RS10285
S.sanguinisNZ_GL872310.1	149302	149742		50S ribosomal protein L15		HMPREF9390_RS10280
S.sanguinisNZ_GL872310.1	149755	151062		preprotein translocase subunit SecY		HMPREF9390_RS10275
S.sanguinisNZ_GL872310.1	151236	151874		adenylate kinase		HMPREF9390_RS10270
S.sanguinisNZ_GL872310.1	151992	152210		translation initiation factor IF-1		HMPREF9390_RS10265
S.sanguinisNZ_GL872310.1	152233	152349		50S ribosomal protein L36		HMPREF9390_RS11250
S.sanguinisNZ_GL872310.1	152367	152732		30S ribosomal protein S13		HMPREF9390_RS10260
S.sanguinisNZ_GL872310.1	152752	153135		30S ribosomal protein S11		HMPREF9390_RS10255
S.sanguinisNZ_GL872310.1	153181	154119		DNA-directed RNA polymerase subunit alpha		HMPREF9390_RS10250
S.sanguinisNZ_GL872310.1	154131	154517		50S ribosomal protein L17		HMPREF9390_RS10245
S.sanguinisNZ_GL872310.1	154765	156024		glutamate-cysteine ligase family protein		HMPREF9390_RS10240
S.sanguinisNZ_GL872311.1	50	123		uncharacterized gene		HMPREF9390_RS10235
S.sanguinisNZ_GL872311.1	50	123		tRNA-Arg		HMPREF9390_RS10235
S.sanguinisNZ_GL872311.1	170	243		uncharacterized gene		HMPREF9390_RS10230
S.sanguinisNZ_GL872311.1	170	243		tRNA-Pro		HMPREF9390_RS10230
S.sanguinisNZ_GL872311.1	582	899		DUF960 domain-containing protein		HMPREF9390_RS10225
S.sanguinisNZ_GL872311.1	1027	1560		DUF402 domain-containing protein		HMPREF9390_RS10220
S.sanguinisNZ_GL872311.1	1647	2423		recombination regulator RecX		HMPREF9390_RS10215
S.sanguinisNZ_GL872311.1	2450	3226		aminoglycoside 3'-phosphotransferase		HMPREF9390_RS10210
S.sanguinisNZ_GL872311.1	3282	4652		23S rRNA (uracil(1939)-C(5))-methyltransferase RlmD		HMPREF9390_RS10205
S.sanguinisNZ_GL872311.1	4853	5557		aquaporin family protein		HMPREF9390_RS10200
S.sanguinisNZ_GL872311.1	5625	7451		type 1 glycerol-3-phosphate oxidase		HMPREF9390_RS10195
S.sanguinisNZ_GL872311.1	7520	9028		glycerol kinase GlpK		HMPREF9390_RS10190
S.sanguinisNZ_GL872311.1	9186	10613		helix-turn-helix domain-containing protein		HMPREF9390_RS10185
S.sanguinisNZ_GL872311.1	10867	11097		DUF1858 domain-containing protein		HMPREF9390_RS10180
S.sanguinisNZ_GL872311.1	11100	12461		DUF438 domain-containing protein		HMPREF9390_RS10175
S.sanguinisNZ_GL872311.1	12488	12742		DUF1912 family protein		HMPREF9390_RS10170
S.sanguinisNZ_GL872311.1	13085	13651		GNAT family protein		HMPREF9390_RS10165
S.sanguinisNZ_GL872311.1	13776	14771		hypothetical protein		HMPREF9390_RS10160
S.sanguinisNZ_GL872311.1	14783	17431		valine--tRNA ligase		HMPREF9390_RS10155
S.sanguinisNZ_GL872311.1	17536	18594		DNA cytosine methyltransferase		HMPREF9390_RS10150
S.sanguinisNZ_GL872311.1	18584	20488		ATP-binding protein		HMPREF9390_RS10145
S.sanguinisNZ_GL872311.1	20485	20883		hypothetical protein		HMPREF9390_RS10140
S.sanguinisNZ_GL872311.1	21259	22683		NADP-dependent phosphogluconate dehydrogenase		HMPREF9390_RS10130
S.sanguinisNZ_GL872311.1	22693	23382		response regulator transcription factor		HMPREF9390_RS10125
S.sanguinisNZ_GL872311.1	23672	25864		PTS transporter subunit IIBC		HMPREF9390_RS10120
S.sanguinisNZ_GL872311.1	25882	26697		endonuclease/exonuclease/phosphatase family protein		HMPREF9390_RS10115
S.sanguinisNZ_GL872311.1	26865	27338		transcriptional regulator NrdR		HMPREF9390_RS10110
S.sanguinisNZ_GL872311.1	27339	28493		DnaD domain protein		HMPREF9390_RS10105
S.sanguinisNZ_GL872311.1	28494	29393		primosomal protein DnaI		HMPREF9390_RS10100
S.sanguinisNZ_GL872311.1	29390	30106		NADPH-dependent oxidoreductase		HMPREF9390_RS10095
S.sanguinisNZ_GL872311.1	30149	31459		ribosome biogenesis GTPase Der		HMPREF9390_RS10090
S.sanguinisNZ_GL872311.1	31587	34688		DEAD/DEAH box helicase		HMPREF9390_RS10085
S.sanguinisNZ_GL872311.1	34743	35402		hypothetical protein		HMPREF9390_RS10080
S.sanguinisNZ_GL872311.1	35684	37018		UDP-N-acetylmuramate--L-alanine ligase		HMPREF9390_RS10075
S.sanguinisNZ_GL872311.1	37030	37542		GNAT family N-acetyltransferase		HMPREF9390_RS10070
S.sanguinisNZ_GL872311.1	37542	38045		GNAT family N-acetyltransferase		HMPREF9390_RS10065
S.sanguinisNZ_GL872311.1	38108	39607		endolytic transglycosylase MltG		HMPREF9390_RS10060
S.sanguinisNZ_GL872311.1	39748	40230		transcription elongation factor GreA		HMPREF9390_RS10055
S.sanguinisNZ_GL872311.1	40384	41004		GTP pyrophosphokinase		HMPREF9390_RS10050
S.sanguinisNZ_GL872311.1	41006	41710		response regulator transcription factor		HMPREF9390_RS10045
S.sanguinisNZ_GL872311.1	41694	42929		HAMP domain-containing sensor histidine kinase		HMPREF9390_RS10040
S.sanguinisNZ_GL872311.1	43046	43969		membrane protein insertase YidC		HMPREF9390_RS10035
S.sanguinisNZ_GL872311.1	44051	44329		acylphosphatase		HMPREF9390_RS10030
S.sanguinisNZ_GL872311.1	44414	45154		RNA methyltransferase		HMPREF9390_RS10025
S.sanguinisNZ_GL872311.1	45199	45690		HD domain-containing protein		HMPREF9390_RS10020
S.sanguinisNZ_GL872311.1	45716	46399		Bax inhibitor-1/YccA family protein		HMPREF9390_RS10015
S.sanguinisNZ_GL872311.1	46503	47753		diaminopimelate decarboxylase		HMPREF9390_RS10010
S.sanguinisNZ_GL872311.1	47809	48057		YneF family protein		HMPREF9390_RS10005
S.sanguinisNZ_GL872311.1	48156	48950		glutamate racemase		HMPREF9390_RS10000
S.sanguinisNZ_GL872311.1	48947	49951		nucleoside-triphosphate diphosphatase		HMPREF9390_RS09995
S.sanguinisNZ_GL872311.1	49930	50451		metallophosphoesterase		HMPREF9390_RS09990
S.sanguinisNZ_GL872311.1	50448	50909		CBS domain-containing protein		HMPREF9390_RS09985
S.sanguinisNZ_GL872311.1	50906	51637		site-specific tyrosine recombinase XerD		HMPREF9390_RS09980
S.sanguinisNZ_GL872311.1	51639	52349		segregation/condensation protein A		HMPREF9390_RS09975
S.sanguinisNZ_GL872311.1	52342	52911		SMC-Scp complex subunit ScpB		HMPREF9390_RS09970
S.sanguinisNZ_GL872311.1	52898	53626		pseudouridine synthase		HMPREF9390_RS09965
S.sanguinisNZ_GL872311.1	53623	53877		membrane protein insertion efficiency factor YidD		HMPREF9390_RS11255
S.sanguinisNZ_GL872311.1	53926	55365		TrkH family potassium uptake protein		HMPREF9390_RS09960
S.sanguinisNZ_GL872311.1	55371	56720		Trk system potassium transporter TrkA		HMPREF9390_RS09955
S.sanguinisNZ_GL872311.1	57061	57564		tRNA (cytidine(34)-2'-O)-methyltransferase		HMPREF9390_RS09950
S.sanguinisNZ_GL872311.1	57959	58516		ECF transporter S component		HMPREF9390_RS09945
S.sanguinisNZ_GL872311.1	58506	59156		phosphatase PAP2 family protein		HMPREF9390_RS09940
S.sanguinisNZ_GL872311.1	59362	59934		TetR/AcrR family transcriptional regulator		HMPREF9390_RS09935
S.sanguinisNZ_GL872311.1	60275	61618		MATE family efflux transporter		HMPREF9390_RS09930
S.sanguinisNZ_GL872311.1	62220	62519		MGMT family protein		HMPREF9390_RS09925
S.sanguinisNZ_GL872311.1	62579	63526		TIGR01212 family radical SAM protein		HMPREF9390_RS09920
S.sanguinisNZ_GL872311.1	63520	64071		class I SAM-dependent methyltransferase		HMPREF9390_RS09915
S.sanguinisNZ_GL872311.1	64310	64925		uncharacterized gene		HMPREF9390_RS09910
S.sanguinisNZ_GL872311.1	64906	65859		ABC transporter ATP-binding protein		HMPREF9390_RS09905
S.sanguinisNZ_GL872311.1	65846	66622		ABC transporter permease		HMPREF9390_RS09900
S.sanguinisNZ_GL872311.1	67164	67928		class I SAM-dependent methyltransferase		HMPREF9390_RS09895
S.sanguinisNZ_GL872311.1	68047	68421		hypothetical protein		HMPREF9390_RS09890
S.sanguinisNZ_GL872311.1	68587	70095		hypothetical protein		HMPREF9390_RS09885
S.sanguinisNZ_GL872311.1	70092	70886		ABC transporter ATP-binding protein		HMPREF9390_RS09880
S.sanguinisNZ_GL872311.1	70961	72085		AI-2E family transporter		HMPREF9390_RS09875
S.sanguinisNZ_GL872311.1	72236	73576		hemolysin family protein		HMPREF9390_RS09870
S.sanguinisNZ_GL872311.1	73945	74658		trehalose operon repressor		HMPREF9390_RS09865
S.sanguinisNZ_GL872311.1	74846	76891		PTS system trehalose-specific EIIBC component		HMPREF9390_RS09860
S.sanguinisNZ_GL872311.1	76964	78595		alpha,alpha-phosphotrehalase		HMPREF9390_RS09855
S.sanguinisNZ_GL872311.1	78785	81034		LPXTG cell wall anchor domain-containing protein		HMPREF9390_RS09850
S.sanguinisNZ_GL872311.1	81260	82069		pyruvate formate-lyase-activating protein		HMPREF9390_RS09845
S.sanguinisNZ_GL872311.1	82209	83144		manganese-dependent inorganic pyrophosphatase		HMPREF9390_RS09840
S.sanguinisNZ_GL872311.1	83237	83749		YiiX/YebB-like N1pC/P60 family cysteine hydrolase		HMPREF9390_RS09835
S.sanguinisNZ_GL872311.1	83742	84395		DUF1803 domain-containing protein		HMPREF9390_RS09830
S.sanguinisNZ_GL872311.1	84496	84690		CsbD family protein		HMPREF9390_RS09825
S.sanguinisNZ_GL872311.1	84871	85626		CPBP family intramembrane metalloprotease		HMPREF9390_RS09820
S.sanguinisNZ_GL872311.1	85672	87117		UDP-N-acetylmuramoyl-L-alanyl-D-glutamate--L-lysine ligase		HMPREF9390_RS09815
S.sanguinisNZ_GL872311.1	87204	88832		polysaccharide biosynthesis protein		HMPREF9390_RS09810
S.sanguinisNZ_GL872311.1	88989	90086		cystathionine gamma-synthase		HMPREF9390_RS09805
S.sanguinisNZ_GL872311.1	90079	91254		pyridoxal phosphate-dependent aminotransferase		HMPREF9390_RS09800
S.sanguinisNZ_GL872311.1	91635	92246		glutathione S-transferase		HMPREF9390_RS09795
S.sanguinisNZ_GL872311.1	92404	95064		magnesium-translocating P-type ATPase		HMPREF9390_RS09790
S.sanguinisNZ_GL872311.1	95162	95791		uracil phosphoribosyltransferase		HMPREF9390_RS09785
S.sanguinisNZ_GL872311.1	95894	96490		uncharacterized gene		HMPREF9390_RS09780
S.sanguinisNZ_GL872311.1	96652	96921		YlbG family protein		HMPREF9390_RS09775
S.sanguinisNZ_GL872311.1	97010	98170		ABC transporter substrate-binding protein		HMPREF9390_RS09770
S.sanguinisNZ_GL872311.1	98416	99285		branched-chain amino acid ABC transporter permease		HMPREF9390_RS09765
S.sanguinisNZ_GL872311.1	99289	100242		branched-chain amino acid ABC transporter permease		HMPREF9390_RS09760
S.sanguinisNZ_GL872311.1	100242	101006		ABC transporter ATP-binding protein		HMPREF9390_RS09755
S.sanguinisNZ_GL872311.1	101006	101716		ABC transporter ATP-binding protein		HMPREF9390_RS09750
S.sanguinisNZ_GL872311.1	102155	102811		CBS domain-containing protein		HMPREF9390_RS09745
S.sanguinisNZ_GL872311.1	102845	103732		YitT family protein		HMPREF9390_RS09740
