Accession	Begin	End	Chromosome	Name	Transcript name	Locus tag
S.sp.DD04NZ_KQ968976.1	38945	39112		hypothetical protein		STRDD04_RS11070
S.sp.DD04NZ_KQ968976.1	39269	39463		hypothetical protein		STRDD04_RS00185
S.sp.DD04NZ_KQ968976.1	39474	39734		hypothetical protein		STRDD04_RS00190
S.sp.DD04NZ_KQ968976.1	39863	40912		hypothetical protein		STRDD04_RS00195
S.sp.DD04NZ_KQ968976.1	41037	42230		hypothetical protein		STRDD04_RS00200
S.sp.DD04NZ_KQ968976.1	42757	43398		recombinase family protein		STRDD04_RS00205
S.sp.DD04NZ_KQ968976.1	43664	44134		hypothetical protein		STRDD04_RS00210
S.sp.DD04NZ_KQ968976.1	44147	44641		hypothetical protein		STRDD04_RS00215
S.sp.DD04NZ_KQ968976.1	44655	44819		hypothetical protein		STRDD04_RS11075
S.sp.DD04NZ_KQ968976.1	46038	47756		phospho-sugar mutase		STRDD04_RS00220
S.sp.DD04NZ_KQ968976.1	47880	48227		PedC/BrcD family bacteriocin maturation disulfide isomerase		STRDD04_RS00225
S.sp.DD04NZ_KQ968976.1	48267	49430		A/G-specific adenine glycosylase		STRDD04_RS00230
S.sp.DD04NZ_KQ968976.1	49687	50664		phosphate acetyltransferase		STRDD04_RS00235
S.sp.DD04NZ_KQ968976.1	50690	51577		RluA family pseudouridine synthase		STRDD04_RS00240
S.sp.DD04NZ_KQ968976.1	51574	52392		NAD kinase		STRDD04_RS00245
S.sp.DD04NZ_KQ968976.1	52376	53047		GTP pyrophosphokinase family protein		STRDD04_RS00250
S.sp.DD04NZ_KQ968976.1	53138	53713		CYTH domain-containing protein		STRDD04_RS00255
S.sp.DD04NZ_KQ968976.1	53783	54739		ribose-phosphate diphosphokinase		STRDD04_RS00260
S.sp.DD04NZ_KQ968976.1	54752	55864		cysteine desulfurase family protein		STRDD04_RS00265
S.sp.DD04NZ_KQ968976.1	55866	56213		DUF1831 domain-containing protein		STRDD04_RS00270
S.sp.DD04NZ_KQ968976.1	56347	56994		redox-sensing transcriptional repressor Rex		STRDD04_RS00275
S.sp.DD04NZ_KQ968976.1	57240	57923		DNA repair protein RadC		STRDD04_RS00280
S.sp.DD04NZ_KQ968976.1	58017	58166		uncharacterized gene		STRDD04_RS11250
S.sp.DD04NZ_KQ968976.1	58218	58931		class A sortase		STRDD04_RS00285
S.sp.DD04NZ_KQ968976.1	58971	61427		DNA gyrase subunit A		STRDD04_RS00290
S.sp.DD04NZ_KQ968976.1	61637	62623		L-lactate dehydrogenase		STRDD04_RS00295
S.sp.DD04NZ_KQ968976.1	62698	63087		NUDIX hydrolase		STRDD04_RS00300
S.sp.DD04NZ_KQ968976.1	63141	63212		uncharacterized gene		STRDD04_RS00305
S.sp.DD04NZ_KQ968976.1	63141	63212		tRNA-Arg		STRDD04_RS00305
S.sp.DD04NZ_KQ968976.1	63640	64854		tRNA 4-thiouridine(8) synthase ThiI		STRDD04_RS00310
S.sp.DD04NZ_KQ968976.1	64858	66000		cysteine desulfurase family protein		STRDD04_RS00315
S.sp.DD04NZ_KQ968976.1	66315	67127		kinase/pyrophosphorylase		STRDD04_RS00320
S.sp.DD04NZ_KQ968976.1	67139	67768		CBS domain-containing protein		STRDD04_RS00325
S.sp.DD04NZ_KQ968976.1	68015	70642		pyruvate, phosphate dikinase		STRDD04_RS00330
S.sp.DD04NZ_KQ968976.1	70872	71303		hypothetical protein		STRDD04_RS00335
S.sp.DD04NZ_KQ968976.1	71359	72429		ABC transporter substrate-binding protein		STRDD04_RS00340
S.sp.DD04NZ_KQ968976.1	72426	73199		ABC transporter permease		STRDD04_RS00345
S.sp.DD04NZ_KQ968976.1	73196	74002		ABC transporter permease		STRDD04_RS00350
S.sp.DD04NZ_KQ968976.1	73983	75140		ABC transporter ATP-binding protein		STRDD04_RS00355
S.sp.DD04NZ_KQ968976.1	75358	76263		UDP-N-acetylmuramate dehydrogenase		STRDD04_RS00360
S.sp.DD04NZ_KQ968976.1	77604	78593		lipoate--protein ligase		STRDD04_RS00365
S.sp.DD04NZ_KQ968976.1	78608	80311		dihydrolipoyl dehydrogenase		STRDD04_RS00370
S.sp.DD04NZ_KQ968976.1	80384	81427		dihydrolipoamide acetyltransferase		STRDD04_RS00375
S.sp.DD04NZ_KQ968976.1	81555	82547		alpha-ketoacid dehydrogenase subunit beta		STRDD04_RS00380
S.sp.DD04NZ_KQ968976.1	82567	83535		thiamine pyrophosphate-dependent dehydrogenase E1 component subunit alpha		STRDD04_RS00385
S.sp.DD04NZ_KQ968976.1	83721	84161		hypothetical protein		STRDD04_RS11255
S.sp.DD04NZ_KQ968976.1	84345	85523		carbamoyl phosphate synthase large subunit		STRDD04_RS00395
S.sp.DD04NZ_KQ968976.1	85551	86156		alpha/beta hydrolase-fold protein		STRDD04_RS00400
S.sp.DD04NZ_KQ968976.1	86177	86288		uncharacterized gene		STRDD04_RS11260
S.sp.DD04NZ_KQ968976.1	86315	87139		alpha/beta hydrolase		STRDD04_RS00405
S.sp.DD04NZ_KQ968976.1	87246	88580		methylenetetrahydrofolate--tRNA-(uracil(54)-C(5))-methyltransferase (FADH(2)-oxidizing) TrmFO		STRDD04_RS00410
S.sp.DD04NZ_KQ968976.1	88674	89168		hypothetical protein		STRDD04_RS00415
S.sp.DD04NZ_KQ968976.1	89210	91303		type I DNA topoisomerase		STRDD04_RS00420
S.sp.DD04NZ_KQ968976.1	91389	92231		DNA-processing protein DprA		STRDD04_RS00425
S.sp.DD04NZ_KQ968976.1	93114	93774		ISL3 family transposase		STRDD04_RS00430
S.sp.DD04NZ_KQ968976.1	93734	94588		PRD domain-containing protein		STRDD04_RS00435
S.sp.DD04NZ_KQ968976.1	94612	95379		ribonuclease HII		STRDD04_RS00440
S.sp.DD04NZ_KQ968976.1	95366	96217		ribosome biogenesis GTPase YlqF		STRDD04_RS00445
S.sp.DD04NZ_KQ968976.1	96340	96531		hypothetical protein		STRDD04_RS00450
S.sp.DD04NZ_KQ968976.1	96961	97104		uncharacterized gene		STRDD04_RS10800
S.sp.DD04NZ_KQ968976.1	97245	98115		ATP-grasp domain-containing protein		STRDD04_RS00455
S.sp.DD04NZ_KQ968976.1	98324	100636		carbamoyl-phosphate synthase large subunit		STRDD04_RS00460
S.sp.DD04NZ_KQ968976.1	100725	101816		carbamoyl phosphate synthase small subunit		STRDD04_RS00465
S.sp.DD04NZ_KQ968976.1	101970	102887		aspartate carbamoyltransferase catalytic subunit		STRDD04_RS00470
S.sp.DD04NZ_KQ968976.1	102944	104224		NCS2 family nucleobase:cation symporter		STRDD04_RS00475
S.sp.DD04NZ_KQ968976.1	104221	104748		bifunctional pyr operon transcriptional regulator/uracil phosphoribosyltransferase PyrR		STRDD04_RS00480
S.sp.DD04NZ_KQ968976.1	104980	107577		pneumococcal-type histidine triad protein		STRDD04_RS00485
S.sp.DD04NZ_KQ968976.1	107712	108341		Pr6Pr family membrane protein		STRDD04_RS00490
S.sp.DD04NZ_KQ968976.1	108350	108688		zinc ribbon domain-containing protein YjdM		STRDD04_RS00495
S.sp.DD04NZ_KQ968976.1	108898	109422		ECF transporter S component		STRDD04_RS00500
S.sp.DD04NZ_KQ968976.1	109461	109973		transcription repressor NadR		STRDD04_RS00505
S.sp.DD04NZ_KQ968976.1	110112	111419		PLP-dependent aminotransferase family protein		STRDD04_RS00510
S.sp.DD04NZ_KQ968976.1	113684	115423		ABC transporter ATP-binding protein		STRDD04_RS00515
S.sp.DD04NZ_KQ968976.1	115420	117168		ABC transporter ATP-binding protein		STRDD04_RS00520
S.sp.DD04NZ_KQ968976.1	117281	117952		MmcQ/YjbR family DNA-binding protein		STRDD04_RS00525
S.sp.DD04NZ_KQ968976.1	117964	118596		copper homeostasis protein CutC		STRDD04_RS00530
S.sp.DD04NZ_KQ968976.1	118662	119522		GNAT family N-acetyltransferase		STRDD04_RS00535
S.sp.DD04NZ_KQ968976.1	119613	120143		hypothetical protein		STRDD04_RS00540
S.sp.DD04NZ_KQ968976.1	120428	122404		peptide ABC transporter substrate-binding protein		STRDD04_RS00545
S.sp.DD04NZ_KQ968976.1	122602	122859		metal-sensitive transcriptional regulator		STRDD04_RS00550
S.sp.DD04NZ_KQ968976.1	122978	123466		prolyl-tRNA synthetase associated domain-containing protein		STRDD04_RS00555
S.sp.DD04NZ_KQ968976.1	123517	123810		rhodanese-like domain-containing protein		STRDD04_RS00560
S.sp.DD04NZ_KQ968976.1	123807	125459		FAD-dependent oxidoreductase		STRDD04_RS00565
S.sp.DD04NZ_KQ968976.1	125477	125782		rhodanese-like domain-containing protein		STRDD04_RS00570
S.sp.DD04NZ_KQ968976.1	125885	127300		hypothetical protein		STRDD04_RS00575
S.sp.DD04NZ_KQ968976.1	127279	127854		hypothetical protein		STRDD04_RS00580
S.sp.DD04NZ_KQ968976.1	128018	128311		50S ribosomal protein L27		STRDD04_RS00585
S.sp.DD04NZ_KQ968976.1	128329	128673		ribosomal-processing cysteine protease Prp		STRDD04_RS00590
S.sp.DD04NZ_KQ968976.1	128689	129003		50S ribosomal protein L21		STRDD04_RS00595
S.sp.DD04NZ_KQ968976.1	129261	130463		30S ribosomal protein S1		STRDD04_RS00600
S.sp.DD04NZ_KQ968976.1	130627	130698		uncharacterized gene		STRDD04_RS00605
S.sp.DD04NZ_KQ968976.1	130627	130698		tRNA-Gln		STRDD04_RS00605
S.sp.DD04NZ_KQ968976.1	131197	132222		branched-chain amino acid aminotransferase		STRDD04_RS00615
S.sp.DD04NZ_KQ968976.1	132367	134817		DNA topoisomerase IV subunit A		STRDD04_RS00620
S.sp.DD04NZ_KQ968976.1	134877	135611		type II CAAX endopeptidase family protein		STRDD04_RS00625
S.sp.DD04NZ_KQ968976.1	135592	136425		aminoglycoside 6-adenylyltransferase		STRDD04_RS00630
S.sp.DD04NZ_KQ968976.1	136435	136788		DUF4962 domain-containing protein		STRDD04_RS00635
S.sp.DD04NZ_KQ968976.1	136894	137412		hypothetical protein		STRDD04_RS10805
S.sp.DD04NZ_KQ968976.1	137478	138083		Fic family protein		STRDD04_RS00640
S.sp.DD04NZ_KQ968976.1	138080	138442		hypothetical protein		STRDD04_RS10810
S.sp.DD04NZ_KQ968976.1	138444	139040		hypothetical protein		STRDD04_RS10815
S.sp.DD04NZ_KQ968976.1	139103	139852		DUF6261 family protein		STRDD04_RS00655
S.sp.DD04NZ_KQ968976.1	140048	140875		hypothetical protein		STRDD04_RS00660
S.sp.DD04NZ_KQ968976.1	140894	142837		DNA topoisomerase IV subunit B		STRDD04_RS00665
S.sp.DD04NZ_KQ968976.1	143061	143703		glycerol-3-phosphate 1-O-acyltransferase PlsY		STRDD04_RS00670
S.sp.DD04NZ_KQ968976.1	144606	145740		metallophosphoesterase		STRDD04_RS00675
S.sp.DD04NZ_KQ968976.1	145899	147166		uncharacterized gene		STRDD04_RS00680
S.sp.DD04NZ_KQ968976.1	147179	147643		8-oxo-dGTP diphosphatase		STRDD04_RS00685
S.sp.DD04NZ_KQ968976.1	147652	148305		uracil-DNA glycosylase		STRDD04_RS00690
S.sp.DD04NZ_KQ968976.1	148372	149892		glycosyltransferase family 39 protein		STRDD04_RS00695
S.sp.DD04NZ_KQ968976.1	150005	150634		orotate phosphoribosyltransferase		STRDD04_RS00700
S.sp.DD04NZ_KQ968976.1	150710	151402		orotidine-5'-phosphate decarboxylase		STRDD04_RS00705
S.sp.DD04NZ_KQ968976.1	151608	152546		dihydroorotate dehydrogenase		STRDD04_RS00710
S.sp.DD04NZ_KQ968976.1	152559	153365		dihydroorotate dehydrogenase electron transfer subunit		STRDD04_RS00715
S.sp.DD04NZ_KQ968976.1	153552	154460		LysR family transcriptional regulator		STRDD04_RS00720
S.sp.DD04NZ_KQ968976.1	154570	155304		CRISPR-associated endoribonuclease Cas6		STRDD04_RS00725
S.sp.DD04NZ_KQ968976.1	156242	156568		CRISPR-associated endonuclease Cas2		STRDD04_RS00730
S.sp.DD04NZ_KQ968976.1	156555	157574		CRISPR-associated endonuclease Cas1		STRDD04_RS00735
S.sp.DD04NZ_KQ968976.1	157624	158361		NAD-dependent protein deacylase		STRDD04_RS00740
S.sp.DD04NZ_KQ968976.1	158354	159130		hypothetical protein		STRDD04_RS00745
S.sp.DD04NZ_KQ968976.1	159133	159840		purine-nucleoside phosphorylase		STRDD04_RS00750
S.sp.DD04NZ_KQ968976.1	160612	161424		purine-nucleoside phosphorylase		STRDD04_RS00755
S.sp.DD04NZ_KQ968976.1	161454	162665		phosphopentomutase		STRDD04_RS00760
S.sp.DD04NZ_KQ968976.1	162679	163356		ribose-5-phosphate isomerase RpiA		STRDD04_RS00765
S.sp.DD04NZ_KQ968976.1	163553	164926		tRNA uridine-5-carboxymethylaminomethyl(34) synthesis GTPase MnmE		STRDD04_RS00770
S.sp.DD04NZ_KQ968976.1	164928	165113		hypothetical protein		STRDD04_RS00775
S.sp.DD04NZ_KQ968976.1	165221	165886		ABC transporter ATP-binding protein		STRDD04_RS00780
S.sp.DD04NZ_KQ968976.1	165887	166948		ABC transporter permease		STRDD04_RS00785
S.sp.DD04NZ_KQ968976.1	167212	167625		SP_0198 family lipoprotein		STRDD04_RS00790
S.sp.DD04NZ_KQ968976.1	167790	168176		YbgA family protein		STRDD04_RS00795
S.sp.DD04NZ_KQ968976.1	168550	169593		CRISPR-associated protein Csn2-St		STRDD04_RS00800
S.sp.DD04NZ_KQ968976.1	169590	169913		CRISPR-associated endonuclease Cas2		STRDD04_RS00805
S.sp.DD04NZ_KQ968976.1	169915	170826		type II CRISPR-associated endonuclease Cas1		STRDD04_RS00810
S.sp.DD04NZ_KQ968976.1	170999	174365		uncharacterized gene		STRDD04_RS00815
S.sp.DD04NZ_KQ968976.1	174446	174658		hypothetical protein		STRDD04_RS11265
S.sp.DD04NZ_KQ968976.1	175929	176000		uncharacterized gene		STRDD04_RS00825
S.sp.DD04NZ_KQ968976.1	175929	176000		tRNA-Arg		STRDD04_RS00825
S.sp.DD04NZ_KQ968976.1	176041	176388		50S ribosomal protein L19		STRDD04_RS00830
S.sp.DD04NZ_KQ968976.1	176507	176833		fluoride efflux transporter CrcB		STRDD04_RS00835
S.sp.DD04NZ_KQ968976.1	176830	177204		fluoride efflux transporter CrcB		STRDD04_RS00840
S.sp.DD04NZ_KQ968976.1	177201	177467		chorismate mutase		STRDD04_RS00845
S.sp.DD04NZ_KQ968976.1	177747	179129		Fe-S cluster assembly protein SufB		STRDD04_RS00850
S.sp.DD04NZ_KQ968976.1	179254	179694		flavodoxin		STRDD04_RS00855
S.sp.DD04NZ_KQ968976.1	179800	180735		bifunctional oligoribonuclease/PAP phosphatase NrnA		STRDD04_RS00860
S.sp.DD04NZ_KQ968976.1	180841	181083		type B 50S ribosomal protein L31		STRDD04_RS00865
S.sp.DD04NZ_KQ968976.1	181311	182090		LD-carboxypeptidase LdcB/DacB		STRDD04_RS00870
S.sp.DD04NZ_KQ968976.1	182094	183815		hypothetical protein		STRDD04_RS00875
S.sp.DD04NZ_KQ968976.1	183841	184253		uncharacterized gene		STRDD04_RS11080
S.sp.DD04NZ_KQ968976.1	184794	185094		uncharacterized gene		STRDD04_RS11085
S.sp.DD04NZ_KQ968976.1	185406	185990		GrpB family protein		STRDD04_RS00890
S.sp.DD04NZ_KQ968976.1	186066	186803		DUF3307 domain-containing protein		STRDD04_RS00895
S.sp.DD04NZ_KQ968976.1	186800	187465		SatD family protein		STRDD04_RS00900
S.sp.DD04NZ_KQ968976.1	187562	187879		TfoX/Sxy family protein		STRDD04_RS00905
S.sp.DD04NZ_KQ968976.1	188030	189550		ABC transporter permease/substrate-binding protein		STRDD04_RS00910
S.sp.DD04NZ_KQ968976.1	189543	190271		ABC transporter ATP-binding protein		STRDD04_RS00915
S.sp.DD04NZ_KQ968976.1	190268	191230		zinc-binding dehydrogenase		STRDD04_RS00920
S.sp.DD04NZ_KQ968976.1	191245	192009		nuclear transport factor 2 family protein		STRDD04_RS00925
S.sp.DD04NZ_KQ968976.1	192013	192450		MarR family transcriptional regulator		STRDD04_RS00930
S.sp.DD04NZ_KQ968976.1	192584	193888		3-isopropylmalate dehydrogenase		STRDD04_RS00935
S.sp.DD04NZ_KQ968976.1	193851	195404		AAA family ATPase		STRDD04_RS00940
S.sp.DD04NZ_KQ968976.1	195567	196346		translation factor (SUA5)		STRDD04_RS00945
S.sp.DD04NZ_KQ968976.1	196446	197036		3-isopropylmalate dehydratase small subunit		STRDD04_RS00950
S.sp.DD04NZ_KQ968976.1	197046	198428		3-isopropylmalate dehydratase large subunit		STRDD04_RS00955
S.sp.DD04NZ_KQ968976.1	198430	198696		DUF1294 domain-containing protein		STRDD04_RS00960
S.sp.DD04NZ_KQ968976.1	198693	199730		3-isopropylmalate dehydrogenase		STRDD04_RS00965
S.sp.DD04NZ_KQ968976.1	199743	201308		2-isopropylmalate synthase		STRDD04_RS00970
S.sp.DD04NZ_KQ968976.1	201739	202413		YoaK family protein		STRDD04_RS00975
S.sp.DD04NZ_KQ968976.1	202454	203089		uridine kinase		STRDD04_RS00980
S.sp.DD04NZ_KQ968976.1	203195	204174		uncharacterized gene		STRDD04_RS00985
S.sp.DD04NZ_KQ968976.1	204167	205255		DEAD/DEAH box helicase		STRDD04_RS00990
S.sp.DD04NZ_KQ968976.1	205338	205748		polysaccharide deacetylase family protein		STRDD04_RS11270
S.sp.DD04NZ_KQ968976.1	205769	206727		polysaccharide deacetylase family protein		STRDD04_RS00995
S.sp.DD04NZ_KQ968976.1	206817	207203		VOC family protein		STRDD04_RS01000
S.sp.DD04NZ_KQ968976.1	207280	208638		HAMP domain-containing sensor histidine kinase		STRDD04_RS01005
S.sp.DD04NZ_KQ968976.1	208628	209302		response regulator transcription factor		STRDD04_RS01010
S.sp.DD04NZ_KQ968976.1	209422	209844		hypothetical protein		STRDD04_RS01015
S.sp.DD04NZ_KQ968976.1	210201	211985		RAMP superfamily CRISPR-associated protein		STRDD04_RS01020
S.sp.DD04NZ_KQ968976.1	211978	212553		CRISPR-associated protein Csx19		STRDD04_RS01025
S.sp.DD04NZ_KQ968976.1	212525	213904		RAMP superfamily CRISPR-associated protein		STRDD04_RS01030
S.sp.DD04NZ_KQ968976.1	213906	214172		hypothetical protein		STRDD04_RS01035
S.sp.DD04NZ_KQ968976.1	214318	216003		RAMP superfamily CRISPR-associated protein		STRDD04_RS01040
S.sp.DD04NZ_KQ968976.1	215978	217600		hypothetical protein		STRDD04_RS01045
S.sp.DD04NZ_KQ968976.1	217602	218795		FRG domain-containing protein		STRDD04_RS01050
S.sp.DD04NZ_KQ968976.1	218808	219820		hypothetical protein		STRDD04_RS01055
S.sp.DD04NZ_KQ968976.1	219841	220344		hypothetical protein		STRDD04_RS01060
S.sp.DD04NZ_KQ968976.1	221459	223224		M1 family metallopeptidase		STRDD04_RS01065
S.sp.DD04NZ_KQ968976.1	223839	224183		uncharacterized gene		STRDD04_RS01070
S.sp.DD04NZ_KQ968976.1	224428	224754		hypothetical protein		STRDD04_RS01075
S.sp.DD04NZ_KQ968976.1	224763	225059		hypothetical protein		STRDD04_RS01080
S.sp.DD04NZ_KQ968976.1	225070	226389		hypothetical protein		STRDD04_RS01085
S.sp.DD04NZ_KQ968976.1	226380	226946		hypothetical protein		STRDD04_RS01090
S.sp.DD04NZ_KQ968976.1	227374	227876		hypothetical protein		STRDD04_RS11090
S.sp.DD04NZ_KQ968976.1	228239	228892		phosphate signaling complex protein PhoU		STRDD04_RS01100
S.sp.DD04NZ_KQ968976.1	228943	229701		phosphate ABC transporter ATP-binding protein PstB		STRDD04_RS01105
S.sp.DD04NZ_KQ968976.1	229729	230532		phosphate ABC transporter ATP-binding protein PstB		STRDD04_RS01110
S.sp.DD04NZ_KQ968976.1	230544	231428		phosphate ABC transporter permease PstA		STRDD04_RS01115
S.sp.DD04NZ_KQ968976.1	231418	232335		phosphate ABC transporter permease subunit PstC		STRDD04_RS01120
S.sp.DD04NZ_KQ968976.1	232332	233216		phosphate ABC transporter substrate-binding protein PstS family protein		STRDD04_RS01125
S.sp.DD04NZ_KQ968976.1	233314	234627		RsmF rRNA methyltransferase first C-terminal domain-containing protein		STRDD04_RS01130
S.sp.DD04NZ_KQ968976.1	234629	235399		inositol monophosphatase family protein		STRDD04_RS01135
S.sp.DD04NZ_KQ968976.1	235389	235667		UPF0223 family protein		STRDD04_RS11095
S.sp.DD04NZ_KQ968976.1	235671	236069		Spx/MgsR family RNA polymerase-binding regulatory protein		STRDD04_RS11100
S.sp.DD04NZ_KQ968976.1	236181	237113		bifunctional riboflavin kinase/FAD synthetase		STRDD04_RS01150
S.sp.DD04NZ_KQ968976.1	237126	238013		tRNA pseudouridine(55) synthase TruB		STRDD04_RS01155
S.sp.DD04NZ_KQ968976.1	238017	238823		alpha/beta hydrolase		STRDD04_RS01160
S.sp.DD04NZ_KQ968976.1	238875	239939		uncharacterized gene		STRDD04_RS01165
S.sp.DD04NZ_KQ968976.1	240049	240405		uncharacterized gene		STRDD04_RS01170
S.sp.DD04NZ_KQ968976.1	240499	242244		ABC transporter ATP-binding protein		STRDD04_RS01175
S.sp.DD04NZ_KQ968976.1	242237	244003		ABC transporter ATP-binding protein		STRDD04_RS01180
S.sp.DD04NZ_KQ968976.1	245703	246119		GNAT family N-acetyltransferase		STRDD04_RS01185
S.sp.DD04NZ_KQ968976.1	246241	246399		hypothetical protein		STRDD04_RS10830
S.sp.DD04NZ_KQ968976.1	246411	247721		GTPase ObgE		STRDD04_RS01190
S.sp.DD04NZ_KQ968976.1	247774	247902		DUF4044 domain-containing protein		STRDD04_RS10475
S.sp.DD04NZ_KQ968976.1	248052	248948		YihY/virulence factor BrkB family protein		STRDD04_RS01195
S.sp.DD04NZ_KQ968976.1	249006	249863		methionyl aminopeptidase		STRDD04_RS01200
S.sp.DD04NZ_KQ968976.1	249923	251200		CBS-HotDog domain-containing transcription factor SpxR		STRDD04_RS01205
S.sp.DD04NZ_KQ968976.1	251193	251744		GNAT family N-acetyltransferase		STRDD04_RS01210
S.sp.DD04NZ_KQ968976.1	251778	253037		UDP-N-acetylglucosamine 1-carboxyvinyltransferase		STRDD04_RS01215
S.sp.DD04NZ_KQ968976.1	253300	253980		DnaD domain-containing protein		STRDD04_RS01220
S.sp.DD04NZ_KQ968976.1	253989	254930		homoserine O-succinyltransferase		STRDD04_RS01225
S.sp.DD04NZ_KQ968976.1	255031	255543		adenine phosphoribosyltransferase		STRDD04_RS01230
S.sp.DD04NZ_KQ968976.1	255666	257004		single-stranded-DNA-specific exonuclease C-terminal domain-containing protein		STRDD04_RS11275
S.sp.DD04NZ_KQ968976.1	257025	257828		DHH family phosphoesterase		STRDD04_RS11280
S.sp.DD04NZ_KQ968976.1	258053	259090		acyltransferase family protein		STRDD04_RS01240
S.sp.DD04NZ_KQ968976.1	259128	259838		class I SAM-dependent methyltransferase		STRDD04_RS01245
S.sp.DD04NZ_KQ968976.1	259845	260600		SDR family oxidoreductase		STRDD04_RS01250
S.sp.DD04NZ_KQ968976.1	260597	261526		ribonuclease Z		STRDD04_RS01255
S.sp.DD04NZ_KQ968976.1	261537	262160		hypothetical protein		STRDD04_RS01260
S.sp.DD04NZ_KQ968976.1	262153	263391		GTPase HflX		STRDD04_RS01265
S.sp.DD04NZ_KQ968976.1	263423	264307		tRNA (adenosine(37)-N6)-dimethylallyltransferase MiaA		STRDD04_RS01270
S.sp.DD04NZ_KQ968976.1	264390	264560		DUF3042 family protein		STRDD04_RS10480
S.sp.DD04NZ_KQ968976.1	264672	265244		TetR/AcrR family transcriptional regulator		STRDD04_RS01275
